Team,Abbrev,Color
Atlanta Hawks,ATL,#E03A3E
Boston Celtics,BOS,#007A33
Brooklyn Nets,BRK,#000000
Charlotte Hornets,CHO,#00788C
Chicago Bulls,CHI,#CE1141
Cleveland Cavaliers,CLE,#860038
Dallas Mavericks,DAL,#00538C
Denver Nuggets,DEN,#8B6F4E
Detroit Pistons,DET,#C8102E
Golden State Warriors,GSW,#1D428A
Houston Rockets,HOU,#BA0C2F
Indiana Pacers,IND,#FDBB30
Los Angeles Clippers,LAC,#1D428A
Los Angeles Lakers,LAL,#F1AA11
Memphis Grizzlies,MEM,#5D76A9
Miami Heat,MIA,#F9A01B
Milwaukee Bucks,MIL,#00471B
Minnesota Timberwolves,MIN,#78BE20
New Orleans Pelicans,NOP,#0C2340
New York Knicks,NYK,#F58426
Oklahoma City Thunder,OKC,#EF3B24
Orlando Magic,ORL,#0077C0
Philadelphia 76ers,PHI,#006BB6
Phoenix Suns,PHO,#E56020
Portland Trail Blazers,POR,#E03A3E
Sacramento Kings,SAC,#5A2D81
San Antonio Spurs,SAS,#C4CED4
Toronto Raptors,TOR,#753BBD
Utah Jazz,UTA,#3E2680
Washington Wizards,WAS,#002B5C
