"Player","Year","RPG","APG","SBPG","PPG","TS","WS48","Perc","allLeague"
Kareem Abdul-Jabbar,"1980",10.8,4.5,4.4,24.8,0.639,0.227,0.732,1
Alvan Adams,"1980",8.1,4.3,2.2,14.9,0.571,0.155,0.671,0
Tiny Archibald,"1980",2.5,8.4,1.5,14.1,0.574,0.148,0.744,0
Greg Ballard,"1980",7.8,1.9,1.5,15.6,0.532,0.136,0.476,0
Mike Bantom,"1980",5.9,3.6,1.7,11.8,0.533,0.081,0.451,0
Rick Barry,"1980",3.3,3.7,1.5,12.0,0.517,0.09,0.5,0
Henry Bibby,"1980",2.5,3.7,0.8,9.0,0.491,0.079,0.72,0
Larry Bird,"1980",10.4,4.5,2.4,21.3,0.538,0.182,0.744,1
Otis Birdsong,"1980",4.0,2.5,1.9,22.7,0.538,0.143,0.573,1
Dudley Bradley,"1980",2.7,3.1,3.2,8.4,0.502,0.073,0.451,0
Mike Bratz,"1980",2.0,2.7,1.2,8.5,0.462,0.046,0.671,0
Ron Brewer,"1980",2.6,2.6,1.8,15.7,0.503,0.074,0.463,0
Junior Bridgeman,"1980",3.7,2.9,1.4,17.6,0.523,0.127,0.598,0
Allan Bristow,"1980",6.2,4.2,1.1,11.6,0.534,0.091,0.293,0
Fred Brown,"1980",1.9,2.2,1.0,12.0,0.532,0.138,0.683,0
Joe Bryant,"1980",6.4,1.8,1.7,9.3,0.485,0.038,0.427,0
Quinn Buckner,"1980",3.6,5.7,2.1,10.7,0.501,0.125,0.598,0
Don Buse,"1980",2.9,4.0,1.8,7.7,0.485,0.088,0.671,0
Austin Carr,"1980",2.1,1.9,0.5,11.8,0.497,0.059,0.451,0
M.L. Carr,"1980",4.0,1.9,1.9,11.1,0.526,0.125,0.744,0
Bill Cartwright,"1980",8.9,2.0,1.8,21.7,0.608,0.148,0.476,1
Maurice Cheeks,"1980",3.5,7.0,2.7,11.4,0.589,0.145,0.72,0
Jim Chones,"1980",6.9,1.8,1.5,10.6,0.521,0.071,0.732,0
Michael Cooper,"1980",2.8,2.7,1.5,8.8,0.563,0.097,0.732,0
Wayne Cooper,"1980",6.4,0.5,1.3,11.0,0.525,0.074,0.293,0
Dave Cowens,"1980",8.1,3.1,2.0,14.2,0.477,0.121,0.744,1
Charlie Criss,"1980",1.4,3.0,1.0,8.3,0.5,0.075,0.61,0
Adrian Dantley,"1980",7.6,2.8,1.6,28.0,0.635,0.189,0.293,1
Johnny Davis,"1980",2.8,5.4,1.6,15.9,0.495,0.073,0.451,0
Walter Davis,"1980",3.6,4.5,1.8,21.5,0.608,0.173,0.671,1
Darryl Dawkins,"1980",8.7,1.9,2.4,14.7,0.548,0.107,0.72,0
Larry Demic,"1980",5.9,0.8,1.0,7.0,0.468,-0.002,0.476,0
Coby Dietrick,"1980",4.6,2.7,1.8,6.9,0.494,0.076,0.366,0
Leon Douglas,"1980",7.2,1.7,1.3,8.1,0.529,0.057,0.195,0
John Drew,"1980",5.9,1.3,1.4,19.5,0.532,0.134,0.61,1
Mike Dunleavy,"1980",2.0,4.1,0.9,8.0,0.542,0.065,0.5,0
T.R. Dunn,"1980",4.0,1.8,1.6,6.9,0.47,0.086,0.463,0
James Edwards,"1980",7.0,1.5,1.9,15.7,0.545,0.14,0.451,0
Julius Erving,"1980",7.4,4.6,4.0,26.9,0.568,0.213,0.72,1
Chris Ford,"1980",2.5,2.9,1.9,11.2,0.537,0.126,0.744,0
Phil Ford,"1980",2.1,7.4,1.7,16.2,0.534,0.111,0.573,0
World B. Free,"1980",3.5,4.2,1.7,30.2,0.544,0.148,0.427,1
Mike Gale,"1980",2.3,4.7,2.0,6.6,0.513,0.073,0.5,0
George Gervin,"1980",5.2,2.6,2.4,33.1,0.587,0.173,0.5,1
Artis Gilmore,"1980",9.0,2.8,1.8,17.8,0.643,0.172,0.366,0
Dave Greenwood,"1980",9.4,2.2,2.3,16.3,0.541,0.112,0.366,0
Kevin Grevey,"1980",2.9,2.7,1.1,14.0,0.499,0.088,0.476,0
Paul Griffin,"1980",5.3,3.0,1.6,6.3,0.621,0.116,0.5,0
Bob Gross,"1980",4.0,3.7,1.7,8.7,0.515,0.051,0.463,0
James Hardy,"1980",5.3,1.4,1.8,5.5,0.536,0.054,0.293,0
Steve Hawes,"1980",6.0,1.8,1.3,9.3,0.555,0.155,0.61,0
Elvin Hayes,"1980",11.1,1.6,3.1,23.0,0.492,0.094,0.476,1
Spencer Haywood,"1980",4.6,1.2,1.2,9.7,0.54,0.095,0.732,0
Tom Henderson,"1980",1.7,4.2,0.9,5.5,0.51,0.041,0.5,0
Armond Hill,"1980",1.7,5.4,1.5,6.1,0.484,0.057,0.61,0
Dan Issel,"1980",8.8,2.4,1.7,23.8,0.571,0.188,0.366,0
Clemon Johnson,"1980",5.0,1.5,2.1,6.0,0.527,0.109,0.451,0
Dennis Johnson,"1980",5.1,4.1,2.8,19.0,0.489,0.12,0.683,1
Eddie Johnson,"1980",2.5,4.7,1.8,18.5,0.538,0.15,0.61,1
George Johnson,"1980",7.4,2.1,3.8,7.2,0.489,0.06,0.415,0
George Johnson,"1980",7.8,2.1,2.0,10.2,0.524,0.095,0.366,0
John Johnson,"1980",5.3,5.2,1.4,11.3,0.532,0.093,0.683,0
Magic Johnson,"1980",7.7,7.3,3.0,18.0,0.602,0.18,0.732,1
Marques Johnson,"1980",7.4,3.5,2.2,21.7,0.585,0.206,0.598,1
Mickey Johnson,"1980",8.3,4.2,3.2,19.1,0.528,0.132,0.451,0
Ollie Johnson,"1980",2.1,2.0,1.1,7.7,0.534,0.073,0.366,0
Bobby Jones,"1980",5.6,1.8,2.7,13.0,0.59,0.183,0.72,0
Caldwell Jones,"1980",11.9,2.1,2.6,7.4,0.482,0.068,0.72,0
Major Jones,"1980",4.6,0.8,1.4,5.3,0.498,0.041,0.5,0
Eddie Jordan,"1980",3.3,6.8,3.0,13.3,0.481,0.074,0.415,0
Larry Kenon,"1980",9.9,3.0,1.7,20.1,0.527,0.093,0.5,0
Reggie King,"1980",6.9,1.3,1.2,8.2,0.565,0.146,0.573,0
Billy Knight,"1980",4.8,2.1,1.2,13.1,0.589,0.145,0.451,0
Toby Knight,"1980",6.1,1.9,2.5,19.1,0.561,0.12,0.476,0
Sam Lacey,"1980",8.0,5.7,2.7,9.2,0.49,0.112,0.573,0
Allen Leavell,"1980",2.4,5.4,2.0,10.9,0.56,0.091,0.5,0
John Long,"1980",4.9,3.0,2.2,19.4,0.535,0.072,0.195,0
John Lucas,"1980",2.8,7.5,1.8,12.6,0.528,0.103,0.293,0
Moses Malone,"1980",14.5,1.8,2.3,25.8,0.56,0.183,0.5,1
