"Player","MP","G","MPG","Year","RPG","APG","SBPG","PPG","TS","WS48","Perc","allLeague"
Dave Cowens,2159,66,32.7,"1980",8.1,3.1,2.0,14.2,0.477,0.121,0.744,1
Larry Bird,2955,82,36.0,"1980",10.4,4.5,2.4,21.3,0.538,0.182,0.744,1
Kareem Abdul-Jabbar,3143,82,38.3,"1980",10.8,4.5,4.4,24.8,0.639,0.227,0.732,1
Magic Johnson,2795,77,36.3,"1980",7.7,7.3,3.0,18.0,0.602,0.18,0.732,1
Dennis Johnson,2937,81,36.3,"1980",5.1,4.1,2.8,19.0,0.489,0.12,0.683,1
Gus Williams,2969,82,36.2,"1980",3.4,4.8,2.9,22.1,0.529,0.187,0.683,1
Jack Sikma,2793,82,34.1,"1980",11.1,3.4,1.8,14.3,0.526,0.148,0.683,1
Julius Erving,2812,78,36.1,"1980",7.4,4.6,4.0,26.9,0.568,0.213,0.72,1
Marques Johnson,2686,77,34.9,"1980",7.4,3.5,2.2,21.7,0.585,0.206,0.598,1
Paul Westphal,2665,82,32.5,"1980",2.3,5.1,1.9,21.9,0.593,0.189,0.671,1
Walter Davis,2309,75,30.8,"1980",3.6,4.5,1.8,21.5,0.608,0.173,0.671,1
Otis Birdsong,2885,82,35.2,"1980",4.0,2.5,1.9,22.7,0.538,0.143,0.573,1
Scott Wedman,2347,68,34.5,"1980",5.7,2.1,1.9,19.0,0.541,0.145,0.573,1
Dan Roundfield,2588,81,32.0,"1980",10.3,2.3,3.0,16.5,0.551,0.169,0.61,1
Eddie Johnson,2622,79,33.2,"1980",2.5,4.7,1.8,18.5,0.538,0.15,0.61,1
John Drew,2306,80,28.8,"1980",5.9,1.3,1.4,19.5,0.532,0.134,0.61,1
Moses Malone,3140,82,38.3,"1980",14.5,1.8,2.3,25.8,0.56,0.183,0.5,1
George Gervin,2934,78,37.6,"1980",5.2,2.6,2.4,33.1,0.587,0.173,0.5,1
Kermit Washington,2657,80,33.2,"1980",10.5,2.1,2.6,13.4,0.584,0.165,0.463,1
Bill Cartwright,3150,82,38.4,"1980",8.9,2.0,1.8,21.7,0.608,0.148,0.476,1
Micheal Ray Richardson,3060,82,37.3,"1980",6.6,10.1,3.7,15.3,0.517,0.094,0.476,1
Elvin Hayes,3183,81,39.3,"1980",11.1,1.6,3.1,23.0,0.492,0.094,0.476,1
World B. Free,2585,68,38.0,"1980",3.5,4.2,1.7,30.2,0.544,0.148,0.427,1
Adrian Dantley,2674,68,39.3,"1980",7.6,2.8,1.6,28.0,0.635,0.189,0.293,1
Bobby Jones,2046,81,25.3,"1981",5.4,2.8,2.1,13.5,0.604,0.217,0.756,1
Julius Erving,2874,82,35.0,"1981",8.0,4.4,3.9,24.6,0.572,0.231,0.756,1
Marques Johnson,2542,76,33.4,"1981",6.8,4.6,2.1,20.3,0.583,0.211,0.732,1
Larry Bird,3239,82,39.5,"1981",10.9,5.5,2.7,21.2,0.528,0.16,0.756,1
Robert Parish,2298,82,28.0,"1981",9.5,1.8,3.6,18.9,0.579,0.228,0.756,1
Tiny Archibald,2820,80,35.3,"1981",2.2,7.7,1.2,13.8,0.582,0.118,0.756,1
Dennis Johnson,2615,79,33.1,"1981",4.6,3.7,2.5,18.8,0.516,0.154,0.695,1
Truck Robinson,3088,82,37.7,"1981",9.6,2.5,1.3,18.8,0.531,0.119,0.695,1
Walter Davis,2182,78,28.0,"1981",2.6,3.9,1.4,18.0,0.579,0.157,0.695,1
Jamaal Wilkes,3028,81,37.4,"1981",5.4,2.9,1.9,22.6,0.556,0.135,0.659,1
Kareem Abdul-Jabbar,2976,80,37.2,"1981",10.3,3.4,3.6,26.2,0.616,0.23,0.659,1
George Gervin,2765,82,33.7,"1981",5.1,3.2,1.8,27.1,0.555,0.182,0.634,1
Artis Gilmore,2832,82,34.5,"1981",10.1,2.1,3.0,17.9,0.699,0.208,0.549,1
Reggie Theus,2820,82,34.4,"1981",3.5,5.2,1.7,18.9,0.578,0.156,0.549,1
Micheal Ray Richardson,3175,79,40.2,"1981",6.9,7.9,3.4,16.4,0.511,0.104,0.61,1
Moses Malone,3245,80,40.6,"1981",14.8,1.8,2.9,27.8,0.585,0.202,0.488,1
Otis Birdsong,2593,71,36.5,"1981",3.6,3.3,1.6,24.6,0.58,0.152,0.488,1
Jack Sikma,2920,82,35.6,"1981",10.4,3.0,2.1,18.7,0.512,0.132,0.415,1
Paul Westphal,1078,36,29.9,"1981",1.9,4.1,1.7,16.7,0.517,0.106,0.415,1
Dan Roundfield,2128,63,33.8,"1981",10.1,2.6,3.1,17.6,0.575,0.159,0.378,1
Eddie Johnson,2693,75,35.9,"1981",2.4,5.4,1.8,19.1,0.554,0.122,0.378,1
Mike Mitchell,3194,82,39.0,"1981",6.1,1.7,1.4,24.5,0.513,0.091,0.341,1
Adrian Dantley,3417,80,42.7,"1981",6.4,4.0,1.6,30.7,0.622,0.191,0.341,1
Larry Bird,2923,77,38.0,"1982",10.9,5.8,2.7,22.9,0.557,0.205,0.768,1
Robert Parish,2534,80,31.7,"1982",10.8,1.8,3.3,19.9,0.571,0.19,0.768,1
Bobby Jones,2181,76,28.7,"1982",5.2,2.5,2.8,14.4,0.62,0.181,0.707,1
Julius Erving,2789,81,34.4,"1982",6.9,3.9,3.7,24.4,0.593,0.229,0.707,1
Bob Lanier,1986,74,26.8,"1982",5.2,3.0,1.7,13.5,0.596,0.16,0.671,1
Sidney Moncrief,2980,80,37.3,"1982",6.7,4.8,2.0,19.8,0.601,0.216,0.671,1
Kareem Abdul-Jabbar,2677,76,35.2,"1982",8.7,3.0,3.6,23.9,0.608,0.192,0.695,1
Magic Johnson,2991,78,38.3,"1982",9.6,9.5,3.1,18.6,0.59,0.207,0.695,1
