,Player,Year,MP,G,MPG,RPG,APG,SBPG,PPG,TS,WS48,Perc,allLeague,allLeague_prob
59,Stephen Curry,2022,542,16,34.4,6.0,6.7,2.3,28.8,0.638,0.29,0.875,1,0.98
8,Giannis Antetokounmpo,2022,531,16,33.7,12.4,5.9,3.1,28.2,0.587,0.258,0.529,1,0.98
45,Jimmy Butler,2022,472,14,34.2,5.7,5.4,2.5,25.5,0.634,0.341,0.647,1,0.97
125,Nikola Jokic,2022,454,14,32.9,13.8,6.4,2.2,26.7,0.668,0.341,0.562,1,0.96
61,DeMar DeRozan,2022,605,17,36.1,5.5,4.3,1.5,27.2,0.594,0.223,0.688,1,0.92
155,Donovan Mitchell,2022,479,15,32.4,4.3,4.7,2.2,24.7,0.553,0.18,0.688,1,0.88
68,Kevin Durant,2022,555,16,35.2,8.0,4.9,1.0,29.0,0.666,0.25,0.706,1,0.88
60,Anthony Davis,2022,631,18,35.6,10.6,3.1,3.5,24.9,0.575,0.196,0.471,1,0.85
95,James Harden,2022,591,17,35.3,7.8,8.9,2.1,21.5,0.605,0.173,0.706,1,0.8
77,Paul George,2022,594,17,35.4,7.8,5.3,2.4,26.8,0.551,0.124,0.562,1,0.75
214,Karl-Anthony Towns,2022,557,16,35.3,9.4,3.4,2.5,23.4,0.64,0.207,0.438,1,0.73
177,Chris Paul,2022,509,16,32.3,4.2,10.8,2.7,14.3,0.577,0.245,0.8,1,0.71
2,Bam Adebayo,2022,457,14,33.1,10.8,2.7,1.7,19.6,0.579,0.181,0.647,1,0.66
132,Zach LaVine,2022,601,17,35.9,5.7,3.8,0.9,26.8,0.606,0.163,0.688,1,0.66
158,Ja Morant,2022,539,16,34.2,6.0,7.1,1.8,25.4,0.58,0.147,0.5,1,0.63
71,Joel Embiid,2022,278,9,31.3,9.7,4.1,2.4,21.7,0.561,0.153,0.529,1,0.61
63,Luka Doncic,2022,452,13,35.3,8.4,8.0,2.0,25.3,0.52,0.081,0.6,1,0.61
81,Rudy Gobert,2022,492,16,31.2,15.3,0.9,2.9,15.5,0.73,0.291,0.688,1,0.6
41,Jaylen Brown,2022,292,8,37.0,6.2,2.5,1.8,26.0,0.603,0.131,0.529,1,0.59
184,Kristaps Porzingis,2022,324,11,29.9,8.4,2.0,2.4,20.6,0.564,0.185,0.6,1,0.56
97,Montrezl Harrell,2022,455,16,28.8,8.6,2.5,1.5,17.4,0.703,0.32,0.688,1,0.56
34,Devin Booker,2022,520,16,33.0,5.8,5.0,1.3,22.7,0.54,0.123,0.8,0,0.5
14,LaMelo Ball,2022,593,18,33.4,7.9,7.8,2.4,19.6,0.531,0.13,0.556,0,0.45
210,Jayson Tatum,2022,627,17,37.4,8.7,3.6,1.9,25.8,0.515,0.092,0.529,0,0.44
13,Deandre Ayton,2022,299,10,30.3,12.0,1.3,1.8,15.7,0.64,0.22,0.8,0,0.44
122,LeBron James,2022,276,8,35.0,5.1,6.2,2.7,23.1,0.583,0.113,0.471,0,0.42
25,Bradley Beal,2022,468,13,36.5,5.3,6.0,1.6,24.0,0.523,0.051,0.688,0,0.4
37,Miles Bridges,2022,659,18,37.1,7.7,3.4,2.3,21.9,0.56,0.127,0.556,0,0.4
236,Trae Young,2022,581,17,34.7,3.6,9.3,1.0,25.1,0.563,0.14,0.471,0,0.36
104,Tyler Herro,2022,538,16,34.1,5.6,3.9,0.6,21.9,0.562,0.118,0.647,0,0.35
38,Malcolm Brogdon,2022,451,13,35.2,6.3,6.1,1.2,21.5,0.568,0.145,0.389,0,0.35
200,Domantas Sabonis,2022,619,18,34.9,11.3,3.7,1.7,18.0,0.631,0.169,0.389,0,0.35
52,Mike Conley,2022,396,14,28.7,1.8,5.5,1.5,13.6,0.642,0.218,0.688,0,0.34
111,Al Horford,2022,417,14,30.2,8.6,3.5,2.9,13.4,0.563,0.191,0.529,0,0.33
87,Draymond Green,2022,477,16,30.2,8.1,7.7,2.0,7.9,0.595,0.187,0.875,0,0.33
188,Julius Randle,2022,603,17,36.0,10.1,5.2,1.4,20.7,0.529,0.099,0.562,0,0.31
230,Andrew Wiggins,2022,500,17,29.8,4.4,1.6,1.3,19.3,0.594,0.155,0.875,0,0.3
144,Tyrese Maxey,2022,606,17,36.2,3.8,4.7,1.4,18.6,0.613,0.16,0.529,0,0.29
6,Jarrett Allen,2022,453,14,32.8,11.1,1.7,2.2,14.4,0.694,0.209,0.529,0,0.28
100,Tobias Harris,2022,365,11,33.7,8.4,4.1,0.7,20.9,0.576,0.13,0.529,0,0.27
42,Jalen Brunson,2022,484,16,30.7,4.7,5.6,0.9,16.0,0.572,0.152,0.6,0,0.25
162,Dejounte Murray,2022,517,15,35.0,8.2,7.9,2.5,18.4,0.497,0.101,0.267,0,0.24
180,Jordan Poole,2022,506,17,30.2,3.0,3.2,1.4,18.7,0.583,0.119,0.875,0,0.24
135,Damian Lillard,2022,574,16,36.4,4.1,8.2,1.1,21.9,0.509,0.094,0.529,0,0.24
62,Spencer Dinwiddie,2022,418,14,30.3,5.1,5.7,0.6,15.9,0.55,0.147,0.688,0,0.23
145,CJ McCollum,2022,598,17,35.7,4.3,4.4,1.8,20.6,0.53,0.082,0.529,0,0.23
220,Fred VanVleet,2022,648,17,38.7,5.0,6.9,2.3,19.4,0.549,0.117,0.471,0,0.23
218,Jonas Valanciunas,2022,599,18,33.8,13.1,2.5,1.6,19.7,0.604,0.172,0.167,0,0.23
69,Anthony Edwards,2022,571,16,36.2,6.3,3.4,2.0,22.8,0.537,0.079,0.438,0,0.22
51,John Collins,2022,543,17,32.4,8.3,2.2,1.8,17.2,0.646,0.202,0.471,0,0.22
47,Clint Capela,2022,496,17,29.6,12.0,1.3,2.1,11.6,0.59,0.194,0.471,0,0.22
201,Dennis Schroder,2022,564,17,33.6,4.0,5.2,1.1,18.2,0.563,0.106,0.529,0,0.22
18,Harrison Barnes,2022,600,17,35.8,7.6,2.5,1.3,20.2,0.641,0.174,0.353,0,0.21
204,Pascal Siakam,2022,224,7,32.5,6.7,3.6,1.9,18.1,0.587,0.151,0.471,0,0.21
151,Khris Middleton,2022,281,9,31.7,5.2,5.1,1.6,18.6,0.536,0.094,0.529,0,0.2
228,Russell Westbrook,2022,634,18,35.7,8.3,8.8,1.5,19.6,0.498,0.032,0.471,0,0.2
234,Robert Williams,2022,400,13,31.2,9.4,1.4,2.9,10.1,0.729,0.225,0.529,0,0.19
168,Jusuf Nurkic,2022,410,17,24.5,11.3,2.1,2.0,11.2,0.629,0.186,0.529,0,0.19
11,OG Anunoby,2022,560,15,37.9,5.5,2.8,2.2,20.4,0.534,0.112,0.471,0,0.18
222,Nikola Vucevic,2022,376,11,34.7,11.1,4.3,2.1,13.8,0.454,0.093,0.688,0,0.18
217,Myles Turner,2022,511,18,28.8,7.5,1.0,3.7,12.9,0.656,0.171,0.389,0,0.18
21,Will Barton,2022,498,15,33.7,5.0,4.2,1.6,16.8,0.561,0.128,0.562,0,0.17
110,Richaun Holmes,2022,465,17,27.7,10.1,1.2,1.4,14.4,0.725,0.217,0.353,0,0.16
199,D'Angelo Russell,2022,434,14,31.4,3.5,5.6,1.6,19.1,0.517,0.099,0.438,0,0.16
39,Dillon Brooks,2022,106,4,26.9,3.0,2.8,1.3,19.5,0.564,0.082,0.5,0,0.14
33,Bojan Bogdanovic,2022,481,16,30.5,4.4,1.8,0.5,16.8,0.589,0.156,0.688,0,0.13
103,Gordon Hayward,2022,620,18,34.9,5.1,3.5,1.3,17.9,0.59,0.099,0.556,0,0.12
76,Darius Garland,2022,518,15,35.0,2.4,6.6,1.5,18.1,0.588,0.088,0.529,0,0.12
10,Cole Anthony,2022,545,16,34.5,6.8,6.0,1.4,19.9,0.551,0.097,0.235,0,0.11
156,Evan Mobley,2022,506,15,34.2,8.1,2.5,2.6,14.8,0.555,0.133,0.529,0,0.11
80,Shai Gilgeous-Alexander,2022,558,16,35.4,5.1,4.4,1.5,20.7,0.518,0.074,0.375,0,0.11
237,Ivica Zubac,2022,427,17,25.5,8.5,1.3,1.3,10.3,0.689,0.239,0.562,0,0.09
193,Mitchell Robinson,2022,385,15,26.0,7.7,0.8,2.1,7.2,0.782,0.205,0.562,0,0.09
128,Frank Kaminsky,2022,181,9,20.4,4.6,1.5,1.7,10.7,0.635,0.243,0.8,0,0.09
36,Mikal Bridges,2022,533,16,33.8,3.7,1.8,1.6,13.9,0.635,0.15,0.8,0,0.08
167,Nerlens Noel,2022,140,6,23.7,6.4,0.8,3.0,4.6,0.747,0.145,0.562,0,0.08
