Player,PlayerID,Year,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Kareem Abdul-Jabbar,abdulka01,1982,C,34,LAL,76,2677,23.4,.608,.002,.340,7.3,19.1,13.4,11.9,1.1,4.1,13.3,25.6,,6.9,3.9,10.7,.192,,3.8,1.2,5.0,4.7
Alvan Adams,adamsal01,1982,C,27,PHO,79,2393,18.6,.529,.001,.227,6.6,20.2,13.6,22.1,2.3,1.9,14.8,22.8,,2.5,4.7,7.2,.144,,1.4,2.2,3.6,3.4
Mark Aguirre,aguirma01,1982,SF,22,DAL,51,1468,17.3,.514,.087,.301,6.7,12.9,9.7,18.6,1.2,0.9,12.7,29.8,,1.0,0.8,1.9,.061,,2.3,-1.6,0.7,1.0
Danny Ainge,aingeda01,1982,SG,22,BOS,53,564,10.1,.439,.077,.294,5.0,5.9,5.5,19.7,3.1,0.3,17.5,21.5,,-0.3,0.8,0.5,.042,,-3.7,1.0,-2.7,-0.1
Tiny Archibald,architi01,1982,PG,33,BOS,68,2167,14.3,.542,.025,.485,1.3,4.5,2.9,31.9,1.1,0.1,18.4,17.9,,3.4,1.8,5.2,.115,,1.4,-1.3,0.1,1.1
Dennis Awtrey,awtrede01,1982,C,33,POR,10,121,1.6,.396,.000,.600,6.5,6.4,6.5,7.5,0.4,0.9,24.0,8.5,,-0.1,0.0,0.0,-0.013,,-4.8,-0.3,-5.1,-0.1
Carl Bailey,baileca01,1982,C,23,POR,1,7,-6.8,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,66.7,17.6,,0.0,0.0,0.0,-0.268,,-5.0,-0.1,-5.1,0.0
James Bailey,baileja01,1982,PF,24,TOT,77,1468,13.3,.546,.000,.444,9.7,20.3,15.0,6.3,1.3,3.3,18.7,20.3,,0.2,2.7,2.9,.094,,-3.0,1.0,-2.0,0.0
James Bailey,baileja01,1982,PF,24,SEA,10,180,8.7,.473,.000,.169,10.6,18.0,14.5,10.2,0.8,2.1,21.4,20.5,,-0.2,0.3,0.1,.016,,-4.9,0.3,-4.7,-0.2
James Bailey,baileja01,1982,PF,24,NJN,67,1288,14.0,.556,.000,.484,9.5,20.7,15.0,5.7,1.4,3.5,18.4,20.3,,0.4,2.4,2.8,.104,,-2.7,1.1,-1.6,0.1
Greg Ballard,ballagr01,1982,SF,27,WSB,79,2946,17.9,.519,.017,.217,5.1,18.1,11.7,13.1,2.2,0.4,7.7,22.0,,4.1,5.3,9.4,.154,,1.5,1.7,3.2,3.9
Gene Banks,banksge01,1982,SF,22,SAS,80,1700,14.7,.515,.012,.325,9.9,16.0,13.0,11.5,1.5,0.5,12.5,19.9,,1.9,1.6,3.5,.099,,0.0,-0.7,-0.7,0.6
Mike Bantom,bantomi01,1982,SF,30,TOT,82,2016,12.7,.505,.008,.375,9.7,14.4,12.1,8.1,1.5,1.7,15.2,20.2,,0.2,2.7,2.9,.069,,-2.0,-0.3,-2.3,-0.1
Mike Bantom,bantomi01,1982,SF,30,IND,39,1037,12.6,.484,.007,.377,8.9,13.6,11.2,9.8,1.8,1.3,15.2,22.4,,-0.3,1.4,1.0,.048,,-2.3,-0.2,-2.5,-0.1
Mike Bantom,bantomi01,1982,SF,30,PHI,43,979,12.7,.533,.010,.373,10.5,15.3,13.0,6.3,1.2,2.2,15.2,17.9,,0.6,1.3,1.9,.092,,-1.7,-0.4,-2.1,0.0
Billy Ray Bates,batesbi01,1982,SG,25,POR,75,1229,17.8,.530,.059,.305,4.9,5.0,4.9,13.9,1.6,0.2,10.6,29.4,,1.8,0.6,2.4,.094,,1.5,-2.0,-0.5,0.5
Mel Bennett,benneme01,1982,PF,27,CLE,3,23,-2.7,.377,.000,1.500,4.6,10.5,7.4,0.0,2.1,0.0,37.6,19.1,,-0.1,0.0,-0.1,-0.270,,-5.0,-0.4,-5.5,-0.1
Kent Benson,bensoke01,1982,C,27,DET,75,2467,14.4,.539,.014,.197,9.4,19.9,14.5,8.8,1.2,2.2,15.5,16.3,,2.2,3.0,5.2,.101,,0.0,0.4,0.4,1.5
Larry Bird,birdla01,1982,PF,25,BOS,77,2923,22.6,.557,.037,.269,7.7,23.4,15.8,22.5,2.3,1.2,13.8,25.2,,6.8,5.7,12.5,.205,,4.4,2.3,6.6,6.4
Otis Birdsong,birdsot01,1982,SG,26,NJN,37,1025,13.3,.489,.021,.265,3.3,7.5,5.3,18.2,1.4,0.3,10.7,23.4,,0.5,1.1,1.6,.074,,-0.5,-0.7,-1.2,0.2
Rolando Blackman,blackro01,1982,SG,22,DAL,82,1979,16.2,.559,.005,.323,5.4,9.4,7.3,8.3,1.1,0.9,10.4,22.7,,3.2,0.8,4.1,.098,,1.8,-1.6,0.2,1.1
Ray Blume,blumera01,1982,SG,23,CHI,49,546,9.7,.482,.081,.126,3.0,5.4,4.3,18.9,2.0,0.2,18.7,22.1,,-0.5,0.3,-0.1,-0.013,,-3.3,-1.2,-4.5,-0.3
