Player,PlayerID,Year,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Precious Achiuwa,achiupr01,2022,C,22,TOR,17,426,12.0,.441,.143,.197,8.5,28.2,17.8,9.4,1.1,2.3,9.6,17.7,0.0,0.4,0.4,.045,-2.8,-0.9,-3.7,-0.2
Steven Adams,adamsst01,2022,C,28,MEM,19,465,16.5,.551,.000,.479,15.0,19.5,17.2,14.9,1.6,2.5,19.4,13.1,0.8,0.0,0.9,.091,0.2,-1.7,-1.6,0.1
Bam Adebayo,adebaba01,2022,C,24,MIA,16,524,20.3,.581,.005,.493,9.2,24.7,17.2,14.2,1.8,1.3,15.2,25.9,1.0,0.9,1.9,.174,0.8,1.0,1.9,0.5
Santi Aldama,aldamsa01,2022,PF,21,MEM,8,59,13.3,.443,.462,.192,8.8,17.1,12.8,17.3,0.0,0.0,0.0,20.1,0.1,0.0,0.1,.048,-0.1,-3.5,-3.6,0.0
LaMarcus Aldridge,aldrila01,2022,C,36,BRK,18,392,23.6,.622,.127,.199,8.1,20.0,14.3,7.3,0.7,4.7,5.7,23.6,1.1,0.6,1.7,.211,2.6,-0.8,1.8,0.4
Nickeil Alexander-Walker,alexani01,2022,SG,23,NOP,21,620,12.5,.477,.482,.147,4.0,12.2,8.1,14.6,1.7,1.3,9.1,24.1,-0.1,0.3,0.3,.020,-0.9,-1.5,-2.5,-0.1
Grayson Allen,allengr01,2022,SG,26,MIL,20,574,15.6,.624,.723,.146,2.0,11.7,7.0,6.9,1.0,0.8,5.4,18.0,1.3,0.5,1.8,.154,2.3,-1.4,0.8,0.4
Jarrett Allen,allenja01,2022,C,23,CLE,16,528,21.9,.692,.027,.473,11.2,25.3,18.3,8.8,1.6,2.3,15.8,17.3,1.4,0.8,2.3,.207,2.0,0.8,2.8,0.6
Jose Alvarado,alvarjo01,2022,PG,23,NOP,5,26,10.2,.389,.444,.000,4.0,8.3,6.1,17.4,3.8,0.0,0.0,14.8,0.0,0.0,0.0,.053,-3.9,1.9,-1.9,0.0
Kyle Anderson,anderky01,2022,PF,28,MEM,19,417,14.2,.505,.329,.119,5.0,21.5,12.9,15.6,1.9,1.7,10.7,17.0,0.4,0.1,0.4,.051,-0.4,-1.1,-1.5,0.0
Giannis Antetokounmpo,antetgi01,2022,PF,27,MIL,19,616,31.6,.595,.233,.549,5.5,31.0,18.7,34.8,1.7,5.3,11.5,34.2,2.5,1.3,3.7,.292,7.3,3.6,10.8,2.0
Thanasis Antetokounmpo,antetth01,2022,SF,29,MIL,17,230,9.9,.488,.093,.315,8.8,16.5,12.8,8.5,1.9,0.8,15.2,13.6,0.1,0.3,0.4,.079,-3.9,-1.1,-5.0,-0.2
Carmelo Anthony,anthoca01,2022,PF,37,LAL,21,620,14.9,.603,.577,.199,2.2,11.2,6.8,4.1,1.2,2.2,6.1,19.2,1.1,0.4,1.5,.118,1.4,-1.6,-0.2,0.3
Cole Anthony,anthoco01,2022,PG,21,ORL,16,545,17.6,.551,.479,.249,1.7,19.2,10.4,30.6,1.6,0.7,14.1,26.0,0.7,0.3,1.0,.088,2.4,-0.9,1.5,0.5
