"Player","Year","Age","RPG","APG","SPG","BPG","TOPG","PPG","TS","3PAr","FTr","WS48","Perc","allstarFlag","allNBAFlag"
Larry Bird,"1980",23,10.4,4.5,1.7,0.6,3.2,21.3,0.538,0.098,0.246,0.182,0.744,1,1
Kareem Abdul-Jabbar,"1980",32,10.8,4.5,1.0,3.4,3.6,24.8,0.639,0.001,0.344,0.227,0.732,1,1
Dennis Johnson,"1980",25,5.1,4.1,1.8,1.0,2.8,19.0,0.489,0.043,0.358,0.12,0.683,1,1
Julius Erving,"1980",29,7.4,4.6,2.2,1.8,3.6,26.9,0.568,0.012,0.331,0.213,0.72,1,1
Marques Johnson,"1980",23,7.4,3.5,1.3,0.9,2.4,21.7,0.585,0.007,0.29,0.206,0.598,1,1
Paul Westphal,"1980",29,2.3,5.1,1.5,0.4,2.5,21.9,0.593,0.071,0.336,0.189,0.671,1,1
Dan Roundfield,"1980",26,10.3,2.3,1.2,1.7,2.9,16.5,0.551,0.004,0.462,0.169,0.61,1,1
Moses Malone,"1980",24,14.5,1.8,1.0,1.3,3.7,25.8,0.56,0.004,0.505,0.183,0.5,1,1
George Gervin,"1980",27,5.2,2.6,1.4,1.0,3.3,33.1,0.587,0.053,0.306,0.173,0.5,1,1
Julius Erving,"1981",30,8.0,4.4,2.1,1.8,3.2,24.6,0.572,0.012,0.352,0.231,0.756,1,1
Marques Johnson,"1981",24,6.8,4.6,1.5,0.5,2.5,20.3,0.583,0.008,0.33,0.211,0.732,1,1
Larry Bird,"1981",24,10.9,5.5,2.0,0.8,3.5,21.2,0.528,0.049,0.218,0.16,0.756,1,1
Dennis Johnson,"1981",26,4.6,3.7,1.7,0.8,2.6,18.8,0.516,0.042,0.411,0.154,0.695,1,1
Kareem Abdul-Jabbar,"1981",33,10.3,3.4,0.7,2.9,3.1,26.2,0.616,0.001,0.379,0.23,0.659,1,1
George Gervin,"1981",28,5.1,3.2,1.1,0.7,3.1,27.1,0.555,0.02,0.359,0.182,0.634,1,1
Moses Malone,"1981",25,14.8,1.8,1.0,1.9,3.9,27.8,0.585,0.002,0.52,0.202,0.488,1,1
Otis Birdsong,"1981",25,3.6,3.3,1.3,0.3,2.4,24.6,0.58,0.027,0.348,0.152,0.488,1,1
Larry Bird,"1982",25,10.9,5.8,1.9,0.9,3.3,22.9,0.557,0.037,0.269,0.205,0.768,1,1
Robert Parish,"1982",28,10.8,1.8,0.9,2.4,2.8,19.9,0.571,0.0,0.287,0.19,0.768,1,1
Julius Erving,"1982",31,6.9,3.9,2.0,1.7,2.6,24.4,0.593,0.008,0.377,0.229,0.707,1,1
Sidney Moncrief,"1982",24,6.7,4.8,1.7,0.3,2.6,19.8,0.601,0.013,0.539,0.216,0.671,1,1
Magic Johnson,"1982",22,9.6,9.5,2.7,0.4,3.7,18.6,0.59,0.028,0.418,0.207,0.695,1,1
Gus Williams,"1982",28,3.1,6.9,2.2,0.5,2.5,23.4,0.526,0.025,0.274,0.171,0.634,1,1
George Gervin,"1982",29,5.0,2.4,1.0,0.6,2.7,32.3,0.562,0.018,0.323,0.182,0.585,1,1
Bernard King,"1982",25,5.9,3.6,1.0,0.3,3.4,23.2,0.6,0.004,0.382,0.147,0.549,1,1
Alex English,"1982",28,6.8,5.3,1.1,1.5,3.2,25.4,0.596,0.005,0.285,0.152,0.561,1,1
Moses Malone,"1982",26,14.7,1.8,0.9,1.5,3.6,31.1,0.576,0.003,0.454,0.218,0.561,1,1
Julius Erving,"1983",32,6.8,3.7,1.6,1.8,2.7,21.4,0.566,0.006,0.372,0.217,0.793,1,1
Moses Malone,"1983",27,15.3,1.3,1.1,2.0,3.4,24.5,0.578,0.001,0.604,0.248,0.793,1,1
Kareem Abdul-Jabbar,"1983",35,7.5,2.5,0.8,2.2,2.5,21.8,0.619,0.002,0.302,0.205,0.707,1,1
Magic Johnson,"1983",23,8.6,10.5,2.2,0.6,3.8,16.8,0.603,0.023,0.407,0.207,0.707,1,1
Larry Bird,"1983",26,11.0,5.8,1.9,0.9,3.0,23.6,0.561,0.052,0.282,0.225,0.683,1,1
Sidney Moncrief,"1983",25,5.8,3.9,1.5,0.3,2.6,22.5,0.602,0.009,0.522,0.233,0.622,1,1
George Gervin,"1983",30,4.6,3.4,1.1,0.9,3.2,26.2,0.561,0.021,0.39,0.159,0.646,1,1
Buck Williams,"1983",22,12.5,1.5,1.1,1.3,3.0,17.0,0.611,0.004,0.573,0.185,0.598,1,1
Alex English,"1983",29,7.3,4.8,1.4,1.5,3.2,28.4,0.561,0.006,0.264,0.166,0.549,1,1
Isiah Thomas,"1983",21,4.0,7.8,2.5,0.4,4.0,22.9,0.525,0.081,0.337,0.115,0.451,1,1
Larry Bird,"1984",27,10.1,6.6,1.8,0.9,3.0,24.2,0.552,0.047,0.273,0.215,0.756,1,1
Sidney Moncrief,"1984",26,6.7,4.5,1.4,0.3,2.7,20.9,0.591,0.016,0.555,0.198,0.61,1,1
Bernard King,"1984",27,5.1,2.1,1.0,0.2,2.6,26.3,0.619,0.003,0.403,0.218,0.573,1,1
Kareem Abdul-Jabbar,"1984",36,7.3,2.6,0.7,1.8,2.8,21.5,0.608,0.001,0.318,0.163,0.659,1,1
Magic Johnson,"1984",24,7.3,13.1,2.2,0.7,4.6,17.6,0.628,0.037,0.459,0.191,0.659,1,1
Jim Paxson,"1984",26,2.1,3.1,1.5,0.1,1.8,21.3,0.573,0.045,0.31,0.17,0.585,1,1
Isiah Thomas,"1984",22,4.0,11.1,2.5,0.4,3.7,21.3,0.52,0.045,0.365,0.144,0.598,1,1
Julius Erving,"1984",33,6.9,4.0,1.8,1.8,3.0,22.4,0.562,0.016,0.365,0.18,0.634,1,1
