Name,Season,All Star Status
Ralph Beard,1951,1
Vince Boryla,1951,1
Alex Groza,1951,1
Fred Schaus,1951,1
Frank Brian,1951,1
Frank Brian,1952,1
Dwight Eddleman,1951,1
Dwight Eddleman,1952,1
Joe Fulks,1951,1
Joe Fulks,1952,1
Red Rocha,1951,1
Red Rocha,1952,1
Jim Pollard,1951,1
Jim Pollard,1952,1
Jim Pollard,1954,1
Jim Pollard,1955,1
Dick McGuire,1951,1
Dick McGuire,1952,1
Dick McGuire,1954,1
Dick McGuire,1955,1
Dick McGuire,1956,1
Dick McGuire,1958,1
Dick McGuire,1959,1
Paul Arizin,1951,1
Paul Arizin,1952,1
Paul Arizin,1955,1
Paul Arizin,1956,1
Paul Arizin,1957,1
Paul Arizin,1958,1
Paul Arizin,1959,1
Paul Arizin,1960,1
Paul Arizin,1961,1
Paul Arizin,1962,1
Vern Mikkelsen,1951,1
Vern Mikkelsen,1952,1
Vern Mikkelsen,1953,1
Vern Mikkelsen,1955,1
Vern Mikkelsen,1956,1
Vern Mikkelsen,1957,1
Bob Davies,1951,1
Bob Davies,1952,1
Bob Davies,1953,1
Bob Davies,1954,1
George Mikan,1951,1
George Mikan,1952,1
George Mikan,1953,1
George Mikan,1954,1
Andy Phillip,1951,1
Andy Phillip,1952,1
Andy Phillip,1953,1
Andy Phillip,1954,1
Andy Phillip,1955,1
Larry Foust,1951,1
Larry Foust,1952,1
Larry Foust,1953,1
Larry Foust,1954,1
Larry Foust,1955,1
Larry Foust,1956,1
Larry Foust,1958,1
Larry Foust,1959,1
Harry Gallatin,1951,1
Harry Gallatin,1952,1
Harry Gallatin,1953,1
Harry Gallatin,1954,1
Harry Gallatin,1955,1
Harry Gallatin,1956,1
Harry Gallatin,1957,1
Ed Macauley,1951,1
Ed Macauley,1952,1
Ed Macauley,1953,1
Ed Macauley,1954,1
Ed Macauley,1955,1
Ed Macauley,1956,1
Ed Macauley,1957,1
Dolph Schayes,1951,1
Dolph Schayes,1952,1
Dolph Schayes,1953,1
Dolph Schayes,1954,1
Dolph Schayes,1955,1
Dolph Schayes,1956,1
Dolph Schayes,1957,1
Dolph Schayes,1958,1
Dolph Schayes,1959,1
Dolph Schayes,1960,1
Dolph Schayes,1961,1
Dolph Schayes,1962,1
Bob Cousy,1951,1
Bob Cousy,1952,1
Bob Cousy,1953,1
Bob Cousy,1954,1
Bob Cousy,1955,1
Bob Cousy,1956,1
Bob Cousy,1957,1
Bob Cousy,1958,1
Bob Cousy,1959,1
Bob Cousy,1960,1
Bob Cousy,1961,1
Bob Cousy,1962,1
Bob Cousy,1963,1
Paul Walther,1952,1
Max Zaslofsky,1952,1
Leo Barnhorst,1952,1
Leo Barnhorst,1953,1
Fred Scolari,1952,1
Fred Scolari,1953,1
Arnie Risen,1952,1
Arnie Risen,1953,1
Arnie Risen,1954,1
Arnie Risen,1955,1
Bobby Wanzer,1952,1
Bobby Wanzer,1953,1
Bobby Wanzer,1954,1
Bobby Wanzer,1955,1
Bobby Wanzer,1956,1
Don Barksdale,1953,1
Billy Gabor,1953,1
Mel Hutchins,1953,1
Mel Hutchins,1954,1
Mel Hutchins,1956,1
Mel Hutchins,1957,1
Paul Seymour,1953,1
Paul Seymour,1954,1
Paul Seymour,1955,1
Carl Braun,1953,1
Carl Braun,1954,1
Carl Braun,1955,1
Carl Braun,1956,1
Carl Braun,1957,1
Neil Johnston,1953,1
Neil Johnston,1954,1
Neil Johnston,1955,1
Neil Johnston,1956,1
Neil Johnston,1957,1
Neil Johnston,1958,1
Slater Martin,1953,1
Slater Martin,1954,1
Slater Martin,1955,1
Slater Martin,1956,1
Slater Martin,1957,1
Slater Martin,1958,1
Slater Martin,1959,1
Bill Sharman,1953,1
Bill Sharman,1954,1
Bill Sharman,1955,1
Bill Sharman,1956,1
Bill Sharman,1957,1
Bill Sharman,1958,1
Bill Sharman,1959,1
Bill Sharman,1960,1
Ray Felix,1954,1
Jack Molinas,1954,1
Don Sunderlage,1954,1
Jack Coleman,1955,1
George Yardley,1955,1
George Yardley,1956,1
George Yardley,1957,1
George Yardley,1958,1
George Yardley,1959,1
George Yardley,1960,1
Bob Pettit,1955,1
Bob Pettit,1956,1
Bob Pettit,1957,1
Bob Pettit,1958,1
Bob Pettit,1959,1
Bob Pettit,1960,1
Bob Pettit,1961,1
Bob Pettit,1962,1
Bob Pettit,1963,1
Bob Pettit,1964,1
Bob Pettit,1965,1
Frank Selvy,1955,1
Frank Selvy,1962,1
Bob Harrison,1956,1
Jack George,1956,1
Jack George,1957,1
Clyde Lovellette,1956,1
Clyde Lovellette,1957,1
Clyde Lovellette,1960,1
Clyde Lovellette,1961,1
Maurice Stokes,1956,1
Maurice Stokes,1957,1
Maurice Stokes,1958,1
Johnny Kerr,1956,1
Johnny Kerr,1959,1
