"Player","Year","RPG","APG","SBPG","PPG","TS","WS48","Perc","allstarFlag","allNBAFlag"
Dave Cowens,"1980",8.1,3.1,2.0,14.2,0.477,0.121,0.744,1,0
Larry Bird,"1980",10.4,4.5,2.4,21.3,0.538,0.182,0.744,1,1
Kareem Abdul-Jabbar,"1980",10.8,4.5,4.4,24.8,0.639,0.227,0.732,1,1
Magic Johnson,"1980",7.7,7.3,3.0,18.0,0.602,0.18,0.732,1,0
Dennis Johnson,"1980",5.1,4.1,2.8,19.0,0.489,0.12,0.683,1,1
Gus Williams,"1980",3.4,4.8,2.9,22.1,0.529,0.187,0.683,0,1
Jack Sikma,"1980",11.1,3.4,1.8,14.3,0.526,0.148,0.683,1,0
Julius Erving,"1980",7.4,4.6,4.0,26.9,0.568,0.213,0.72,1,1
Marques Johnson,"1980",7.4,3.5,2.2,21.7,0.585,0.206,0.598,1,1
Paul Westphal,"1980",2.3,5.1,1.9,21.9,0.593,0.189,0.671,1,1
Walter Davis,"1980",3.6,4.5,1.8,21.5,0.608,0.173,0.671,1,0
Otis Birdsong,"1980",4.0,2.5,1.9,22.7,0.538,0.143,0.573,1,0
Scott Wedman,"1980",5.7,2.1,1.9,19.0,0.541,0.145,0.573,1,0
Dan Roundfield,"1980",10.3,2.3,3.0,16.5,0.551,0.169,0.61,1,1
Eddie Johnson,"1980",2.5,4.7,1.8,18.5,0.538,0.15,0.61,1,0
John Drew,"1980",5.9,1.3,1.4,19.5,0.532,0.134,0.61,1,0
Moses Malone,"1980",14.5,1.8,2.3,25.8,0.56,0.183,0.5,1,1
George Gervin,"1980",5.2,2.6,2.4,33.1,0.587,0.173,0.5,1,1
Kermit Washington,"1980",10.5,2.1,2.6,13.4,0.584,0.165,0.463,1,0
Bill Cartwright,"1980",8.9,2.0,1.8,21.7,0.608,0.148,0.476,1,0
Micheal Ray Richardson,"1980",6.6,10.1,3.7,15.3,0.517,0.094,0.476,1,0
Elvin Hayes,"1980",11.1,1.6,3.1,23.0,0.492,0.094,0.476,1,0
World B. Free,"1980",3.5,4.2,1.7,30.2,0.544,0.148,0.427,1,0
Bobby Jones,"1981",5.4,2.8,2.1,13.5,0.604,0.217,0.756,1,0
Julius Erving,"1981",8.0,4.4,3.9,24.6,0.572,0.231,0.756,1,1
Marques Johnson,"1981",6.8,4.6,2.1,20.3,0.583,0.211,0.732,1,1
Larry Bird,"1981",10.9,5.5,2.7,21.2,0.528,0.16,0.756,1,1
