"Player","Year","Age","ORPG","DRPG","RPG","APG","SPG","BPG","TOPG","PPG","PER","TS","3PAr","FTr","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","allstarFlag","allNBAFlag","Perc"
Kareem Abdul-Jabbar,"1980",32,2,8,10,4,0,3,3,24,25.3,0.639,0.001,0.344,9.5,5.3,14.8,0.227,4.8,2.4,7.2,7.3,1,1,0.732
Larry Bird,"1980",23,2,7,10,4,1,0,3,21,20.5,0.538,0.098,0.246,5.6,5.6,11.2,0.182,3.0,1.5,4.5,4.8,1,1,0.744
Julius Erving,"1980",29,2,4,7,4,2,1,3,26,25.4,0.568,0.012,0.331,7.3,5.2,12.5,0.213,5.7,1.9,7.6,6.8,1,1,0.72
George Gervin,"1980",27,1,3,5,2,1,1,3,33,24.0,0.587,0.053,0.306,9.3,1.3,10.6,0.173,5.5,-1.6,3.9,4.4,1,1,0.5
Dennis Johnson,"1980",25,2,2,5,4,1,1,2,19,15.9,0.489,0.043,0.358,3.0,4.4,7.4,0.12,0.5,0.8,1.3,2.5,1,1,0.683
Marques Johnson,"1980",23,2,4,7,3,1,0,2,21,22.0,0.585,0.007,0.29,8.0,3.5,11.5,0.206,4.6,0.4,5.1,4.8,1,1,0.598
Moses Malone,"1980",24,6,7,14,1,0,1,3,25,24.1,0.56,0.004,0.505,8.9,3.0,11.9,0.183,4.5,-2.4,2.1,3.2,1,1,0.5
Dan Roundfield,"1980",26,3,6,10,2,1,1,2,16,19.7,0.551,0.004,0.462,4.0,5.1,9.1,0.169,1.6,1.4,2.9,3.2,1,1,0.61
Paul Westphal,"1980",29,0,1,2,5,1,0,2,21,21.1,0.593,0.071,0.336,7.7,2.8,10.5,0.189,4.0,0.0,3.9,4.0,1,1,0.671
Kareem Abdul-Jabbar,"1981",33,2,7,10,3,0,2,3,26,25.5,0.616,0.001,0.379,9.6,4.6,14.3,0.23,4.7,1.4,6.1,6.1,1,1,0.659
Larry Bird,"1981",24,2,8,10,5,1,0,3,21,19.9,0.528,0.049,0.218,4.7,6.1,10.8,0.16,2.5,1.8,4.3,5.2,1,1,0.756
Otis Birdsong,"1981",25,1,1,3,3,1,0,2,24,20.3,0.58,0.027,0.348,6.2,2.0,8.2,0.152,3.3,-0.8,2.4,2.9,1,1,0.488
Julius Erving,"1981",30,2,5,8,4,2,1,3,24,25.1,0.572,0.012,0.352,7.8,6.1,13.8,0.231,5.2,2.3,7.5,6.9,1,1,0.756
George Gervin,"1981",28,1,3,5,3,1,0,3,27,22.9,0.555,0.02,0.359,8.1,2.4,10.5,0.182,4.2,-1.2,2.9,3.5,1,1,0.634
Dennis Johnson,"1981",26,2,2,4,3,1,0,2,18,17.0,0.516,0.042,0.411,4.0,4.4,8.4,0.154,1.0,0.8,1.8,2.5,1,1,0.695
Marques Johnson,"1981",24,2,3,6,4,1,0,2,20,22.0,0.583,0.008,0.33,7.6,3.6,11.2,0.211,5.1,0.5,5.6,4.9,1,1,0.732
Moses Malone,"1981",25,5,8,14,1,1,1,3,27,25.1,0.585,0.002,0.52,9.5,4.2,13.7,0.202,4.5,-1.2,3.3,4.3,1,1,0.488
Larry Bird,"1982",25,2,8,10,5,1,0,3,22,22.6,0.557,0.037,0.269,6.8,5.7,12.5,0.205,4.4,2.3,6.6,6.4,1,1,0.768
Alex English,"1982",28,2,4,6,5,1,1,3,25,22.2,0.596,0.005,0.285,8.9,0.6,9.5,0.152,4.9,-1.1,3.8,4.4,1,1,0.561
Julius Erving,"1982",31,2,4,6,3,1,1,2,24,25.9,0.593,0.008,0.377,8.7,4.6,13.3,0.229,6.0,1.7,7.7,6.8,1,1,0.707
George Gervin,"1982",29,1,3,4,2,0,0,2,32,24.2,0.562,0.018,0.323,8.7,2.0,10.7,0.182,5.4,-1.5,3.9,4.2,1,1,0.585
Magic Johnson,"1982",22,3,6,9,9,2,0,3,18,22.9,0.59,0.028,0.418,8.1,4.8,12.9,0.207,4.9,2.3,7.2,7.0,1,1,0.695
Bernard King,"1982",25,1,4,5,3,0,0,3,23,19.8,0.6,0.004,0.382,6.6,2.2,8.7,0.147,2.9,-0.6,2.2,3.1,1,1,0.549
Moses Malone,"1982",26,6,7,14,1,0,1,3,31,26.8,0.576,0.003,0.454,11.7,3.7,15.4,0.218,6.2,-1.8,4.5,5.5,1,1,0.561
Sidney Moncrief,"1982",24,2,3,6,4,1,0,2,19,20.1,0.601,0.013,0.539,8.9,4.5,13.4,0.216,3.9,0.9,4.8,5.1,1,1,0.671
Robert Parish,"1982",28,3,7,10,1,0,2,2,19,22.6,0.571,0.0,0.287,5.0,5.1,10.0,0.19,2.6,1.2,3.8,3.7,1,1,0.768
Gus Williams,"1982",28,1,1,3,6,2,0,2,23,21.8,0.526,0.025,0.274,5.9,4.3,10.2,0.171,4.1,1.0,5.1,5.2,1,1,0.634
Kareem Abdul-Jabbar,"1983",35,2,5,7,2,0,2,2,21,23.6,0.619,0.002,0.302,8.0,2.9,10.9,0.205,4.0,0.5,4.5,4.2,1,1,0.707
Larry Bird,"1983",26,2,8,11,5,1,0,3,23,24.1,0.561,0.052,0.282,8.4,5.6,14.0,0.225,5.4,2.1,7.5,7.2,1,1,0.683
Alex English,"1983",29,3,4,7,4,1,1,3,28,24.1,0.561,0.006,0.264,8.7,1.6,10.3,0.166,5.4,-0.8,4.6,5.0,1,1,0.549
Julius Erving,"1983",32,2,4,6,3,1,1,2,21,23.1,0.566,0.006,0.372,6.8,4.1,10.9,0.217,4.6,1.9,6.5,5.2,1,1,0.793
George Gervin,"1983",30,1,3,4,3,1,0,3,26,20.5,0.561,0.021,0.39,7.6,1.8,9.4,0.159,2.9,-1.1,1.8,2.7,1,1,0.646
Magic Johnson,"1983",23,2,5,8,10,2,0,3,16,23.0,0.603,0.023,0.407,8.8,3.8,12.5,0.207,5.4,1.8,7.2,6.8,1,1,0.707
Moses Malone,"1983",27,5,9,15,1,1,2,3,24,25.1,0.578,0.001,0.604,9.1,6.0,15.1,0.248,4.0,-0.3,3.7,4.2,1,1,0.793
Sidney Moncrief,"1983",25,2,3,5,3,1,0,2,22,22.6,0.602,0.009,0.522,9.7,3.5,13.2,0.233,5.1,0.4,5.4,5.1,1,1,0.622
Isiah Thomas,"1983",21,1,2,4,7,2,0,4,22,18.9,0.525,0.081,0.337,4.5,3.0,7.4,0.115,1.9,0.0,1.9,3.0,1,1,0.451
Buck Williams,"1983",22,4,8,12,1,1,1,3,17,18.6,0.611,0.004,0.573,5.5,5.9,11.4,0.185,1.6,0.4,2.0,3.0,1,1,0.598
Kareem Abdul-Jabbar,"1984",36,2,5,7,2,0,1,2,21,21.3,0.608,0.001,0.318,5.9,3.1,8.9,0.163,2.8,0.2,3.0,3.3,1,1,0.659
Larry Bird,"1984",27,2,7,10,6,1,0,3,24,24.2,0.552,0.047,0.273,7.9,5.6,13.6,0.215,5.6,2.0,7.6,7.3,1,1,0.756
Julius Erving,"1984",33,2,4,6,4,1,1,2,22,22.9,0.562,0.016,0.365,5.6,4.5,10.1,0.18,4.3,1.6,5.9,5.3,1,1,0.634
Magic Johnson,"1984",24,1,5,7,13,2,0,4,17,22.6,0.628,0.037,0.459,6.7,3.6,10.2,0.191,4.8,1.8,6.6,5.6,1,1,0.659
Bernard King,"1984",27,1,3,5,2,0,0,2,26,22.7,0.619,0.003,0.403,8.6,3.5,12.1,0.218,4.6,-0.2,4.5,4.3,1,1,0.573
Moses Malone,"1984",28,4,8,13,1,1,1,3,22,21.8,0.566,0.004,0.66,5.0,4.6,9.5,0.175,2.0,-1.2,0.8,1.8,1,1,0.634
Sidney Moncrief,"1984",26,2,3,6,4,1,0,2,20,19.8,0.591,0.016,0.555,8.4,4.2,12.7,0.198,3.7,0.4,4.1,4.7,1,1,0.61
Jim Paxson,"1984",26,0,1,2,3,1,0,1,21,19.5,0.573,0.045,0.31,7.5,1.9,9.5,0.17,2.8,-0.5,2.2,2.9,1,1,0.585
Isiah Thomas,"1984",22,1,2,3,11,2,0,3,21,20.9,0.52,0.045,0.365,5.7,3.4,9.1,0.144,4.0,0.7,4.8,5.1,1,1,0.598
Kareem Abdul-Jabbar,"1985",37,2,5,7,3,0,2,2,21,22.9,0.628,0.001,0.327,7.6,3.6,11.2,0.204,3.9,1.2,5.1,4.8,1,1,0.756
Larry Bird,"1985",28,2,8,10,6,1,1,3,28,26.5,0.585,0.074,0.26,10.5,5.2,15.7,0.238,6.8,2.0,8.8,8.7,1,1,0.768
Terry Cummings,"1985",23,3,5,9,2,1,0,2,23,22.1,0.536,0.001,0.302,5.6,5.1,10.7,0.189,3.6,0.7,4.3,4.3,1,1,0.72
Magic Johnson,"1985",25,1,5,6,12,1,0,3,18,23.2,0.637,0.041,0.516,9.5,3.2,12.7,0.22,5.8,0.8,6.7,6.1,1,1,0.756
Michael Jordan,"1985",21,2,4,6,5,2,0,3,28,25.8,0.592,0.032,0.459,10.3,3.7,14.0,0.213,5.8,1.5,7.3,7.4,1,1,0.463
