Player,PlayerID,Year,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
Precious Achiuwa,achiupr01,2021,PF,21,MIA,61,737,,,,42%,58%,-6.3,-8.0,14,13,48,14,59,6,79,10,32
Jaylen Adams,adamsja01,2021,PG,24,MIL,7,18,97%,3%,,,,-38.3,-44.1,0,0,1,0,0,0,5,0,0
Steven Adams,adamsst01,2021,C,27,NOP,58,1605,,,,,100%,-0.2,0.8,25,27,46,19,53,5,256,6,20
Bam Adebayo,adebaba01,2021,C,23,MIA,64,2143,,,,30%,70%,0.4,0.8,82,46,64,30,154,9,873,44,39
LaMarcus Aldridge,aldrila01,2021,C,35,TOT,26,674,,,,2%,98%,-3.4,-3.6,13,4,34,6,23,0,124,2,9
Ty-Shon Alexander,alexaty01,2021,SG,22,PHO,15,47,,,89%,11%,,-5.0,-11.3,2,1,1,0,1,0,15,0,0
Nickeil Alexander-Walker,alexani01,2021,SG,22,NOP,46,1007,3%,86%,12%,,,-2.5,-2.7,41,15,47,3,29,11,233,9,34
Grayson Allen,allengr01,2021,SG,25,MEM,50,1259,3%,86%,11%,,,0.7,-1.1,29,8,37,6,28,11,258,5,18
Jarrett Allen,allenja01,2021,C,22,TOT,63,1864,,,,5%,95%,-5.9,-0.4,47,24,62,15,127,12,256,26,37
Al-Farouq Aminu,aminual01,2021,PF,30,TOT,23,434,,,36%,64%,,-6.9,0.6,15,6,13,4,12,1,75,6,5
Kyle Anderson,anderky01,2021,PF,27,MEM,69,1887,,,3%,70%,27%,1.7,0.8,46,18,58,9,86,4,575,16,32
Giannis Antetokounmpo,antetgi01,2021,PF,26,MIL,61,2013,,,2%,86%,12%,8.4,6.7,71,50,53,53,295,5,926,79,56
Kostas Antetokounmpo,antetko01,2021,PF,23,LAL,15,56,,,,5%,95%,17.1,14.7,1,5,4,2,3,1,3,1,4
Thanasis Antetokounmpo,antetth01,2021,SF,28,MIL,57,551,,8%,60%,32%,1%,3.3,-2.6,14,9,37,9,25,10,118,6,12
Carmelo Anthony,anthoca01,2021,PF,36,POR,69,1690,,,,71%,29%,-1.4,-6.4,16,16,70,24,68,5,261,13,19
Cole Anthony,anthoco01,2021,PG,20,ORL,47,1273,91%,9%,,,,-12.1,-5.0,58,38,46,6,52,13,457,13,49
OG Anunoby,anunoog01,2021,SF,23,TOR,43,1433,,5%,63%,31%,1%,3.4,7.0,26,20,53,16,48,7,236,7,38
Ryan Arcidiacono,arcidry01,2021,PG,26,CHI,44,450,93%,7%,,,,0.9,1.9,6,2,17,2,9,19,130,4,3
Trevor Ariza,arizatr01,2021,SF,35,MIA,30,841,,,3%,96%,1%,3.1,4.0,10,4,23,4,18,10,133,1,9
D.J. Augustin,augusdj01,2021,PG,33,TOT,57,1129,100%,,,,,-2.9,-3.9,41,14,18,6,31,10,444,3,27
Deni Avdija,avdijde01,2021,SF,20,WAS,54,1257,,1%,73%,27%,,-2.5,-1.1,17,7,82,3,21,7,145,6,16
Deandre Ayton,aytonde01,2021,C,22,PHO,69,2115,,,,10%,90%,6.0,-0.2,20,36,128,25,97,3,238,30,46
Udoka Azubuike,azubuud01,2021,C,21,UTA,15,57,,,,,100%,-49.3,-59.8,1,0,7,1,5,0,0,0,1
Dwayne Bacon,bacondw01,2021,SG,25,ORL,72,1853,3%,40%,55%,2%,,-11.1,-4.5,26,9,44,4,85,5,232,19,39
Marvin Bagley III,baglema01,2021,PF,21,SAC,43,1112,,,,69%,31%,-3.2,0.6,12,20,57,15,69,18,106,12,42
LaMelo Ball,ballla01,2021,PG,19,CHO,51,1469,70%,30%,,,,-4.1,-3.4,102,26,45,5,74,6,733,23,33
Lonzo Ball,balllo01,2021,PG,23,NOP,55,1747,93%,7%,,,,0.8,2.7,78,20,41,16,23,6,717,5,16
Mo Bamba,bambamo01,2021,C,22,ORL,46,725,,,,,100%,-13.4,-5.6,10,12,57,10,34,3,84,9,18
Desmond Bane,banede01,2021,SG,22,MEM,68,1519,1%,47%,48%,4%,,-0.3,-2.8,25,12,66,6,16,3,287,7,35
Harrison Barnes,barneha02,2021,PF,28,SAC,58,2102,,,31%,66%,3%,-1.1,6.5,46,32,36,11,101,11,497,25,24
RJ Barrett,barrerj01,2021,SG,20,NYK,72,2511,5%,79%,16%,,,2.6,0.4,77,35,85,14,133,13,520,28,86
Will Barton,bartowi01,2021,SF,30,DEN,56,1736,,39%,53%,8%,,6.1,2.5,49,28,48,7,46,7,424,15,35
Keita Bates-Diop,bateske01,2021,SF,25,SAS,30,245,,10%,65%,25%,,-8.2,-7.0,1,2,6,2,10,0,27,3,8
Nicolas Batum,batumni01,2021,SF,32,LAC,67,1835,,,14%,84%,2%,9.0,5.3,42,7,48,2,26,13,354,7,6
Aron Baynes,baynear01,2021,C,34,TOR,53,980,,,,,100%,-4.9,-5.9,13,9,57,18,20,13,116,4,15
Kent Bazemore,bazemke01,2021,SF,31,GSW,67,1333,,39%,43%,17%,1%,6.7,9.5,40,24,75,9,35,19,261,8,14
Darius Bazley,bazleda01,2021,PF,20,OKC,55,1714,,4%,24%,68%,4%,-13.4,-5.1,52,47,34,10,89,4,245,17,53
Bradley Beal,bealbr01,2021,SG,27,WAS,60,2147,1%,73%,26%,,,-0.6,3.2,88,65,73,18,206,15,617,66,60
Malik Beasley,beaslma01,2021,SG,24,MIN,37,1214,1%,91%,8%,,,-7.3,-2.9,20,25,30,7,37,3,212,11,29
Jordan Bell,belljo01,2021,C,26,TOT,6,82,,,,52%,48%,-18.7,-17.6,2,1,6,0,0,1,17,0,3
DeAndre' Bembry,bembrde01,2021,SF,26,TOR,51,972,4%,41%,52%,3%,,0.7,2.0,41,22,30,2,34,9,263,7,21
Davis Bertans,bertada01,2021,PF,28,WAS,57,1464,,,,95%,5%,1.8,6.4,16,8,60,6,30,10,110,10,6
Patrick Beverley,beverpa01,2021,PG,32,LAC,37,832,79%,21%,,,,9.1,3.3,21,1,43,7,13,11,186,1,10
Saddiq Bey,beysa01,2021,SF,21,DET,70,1909,,3%,71%,26%,,-5.7,-2.7,27,7,52,8,69,4,236,17,34
Tyler Bey,beyty01,2021,SF,22,DAL,18,71,,,14%,68%,18%,-27.1,-30.0,1,1,3,0,3,1,8,1,2
Khem Birch,birchkh01,2021,C,28,TOT,67,1529,,,,35%,65%,-3.3,3.6,14,15,66,10,66,9,225,10,30
Goga Bitadze,bitadgo01,2021,C,21,IND,45,561,,,,,100%,-1.1,-1.3,5,1,58,5,28,0,85,4,15
Bismack Biyombo,biyombi01,2021,C,28,CHO,66,1349,,,,,100%,-8.2,-9.8,27,11,70,21,43,4,187,10,30
Nemanja Bjelica,bjeline01,2021,PF,32,TOT,37,595,,,,74%,26%,-6.5,-4.4,11,10,25,8,19,0,169,5,10
Eric Bledsoe,bledser01,2021,SG,31,NOP,71,2111,36%,64%,,,,-1.3,-1.9,71,25,58,10,86,26,629,22,26
Keljin Blevins,blevike01,2021,SF,25,POR,17,75,39%,43%,18%,,,-18.4,-20.9,3,0,6,0,0,0,10,0,4
Bogdan Bogdanovic,bogdabo01,2021,SG,28,ATL,44,1305,,28%,70%,2%,,4.2,2.6,28,15,42,5,16,6,357,2,19
Bojan Bogdanovic,bogdabo02,2021,SF,31,UTA,72,2216,,6%,45%,50%,,9.2,-0.9,44,55,38,13,100,8,352,18,61
Bol Bol,bolbo01,2021,PF,21,DEN,32,160,,,,52%,48%,-23.1,-29.4,2,7,8,0,7,0,17,3,0
Marques Bolden,boldema01,2021,C,22,CLE,6,29,,,,85%,15%,8.9,17.5,0,1,0,0,0,0,0,0,0
Jordan Bone,bonejo01,2021,PG,23,ORL,14,196,100%,,,,,-15.8,-7.2,2,0,2,0,0,2,44,0,0
Isaac Bonga,bongais01,2021,SF,21,WAS,40,432,,2%,62%,36%,,-1.5,0.4,9,4,29,2,4,9,52,2,1
Devin Booker,bookede01,2021,SG,24,PHO,67,2270,,94%,6%,,,7.2,3.1,102,52,74,29,176,17,716,43,46
Chris Boucher,bouchch01,2021,C,28,TOR,60,1453,,,,17%,83%,3.3,6.9,13,11,117,7,96,12,160,22,41
Brian Bowen,bowenbr02,2021,SF,22,IND,6,15,,24%,76%,,,0.0,0.0,0,0,1,0,1,0,0,1,0
Avery Bradley,bradlav01,2021,SG,30,TOT,27,602,49%,47%,4%,,,-9.9,-5.3,19,6,21,2,6,3,110,1,9
Tony Bradley,bradlto01,2021,C,23,TOT,42,684,,,,5%,95%,-1.6,2.5,8,9,32,13,27,0,82,3,18
Jarrell Brantley,brantja01,2021,PF,24,UTA,28,138,,1%,44%,51%,4%,-6.1,-16.2,3,2,14,1,1,0,41,0,4
Ignas Brazdeikis,brazdig01,2021,SF,22,TOT,13,249,,,20%,81%,,-5.6,2.8,3,3,13,4,5,1,38,0,8
Mikal Bridges,bridgmi01,2021,SF,24,PHO,72,2348,,7%,89%,4%,,7.6,4.4,35,14,60,3,61,14,361,17,24
Miles Bridges,bridgmi02,2021,PF,22,CHO,66,1932,,,4%,92%,4%,0.3,5.5,56,24,72,10,55,8,363,15,26
Amida Brimah,brimaam01,2021,C,26,IND,5,29,,,,6%,94%,37.6,38.0,2,0,2,1,2,0,2,1,0
Oshae Brissett,brissos01,2021,SF,22,IND,21,519,,1%,40%,41%,19%,5.5,6.6,2,6,26,1,32,2,47,5,6
Malcolm Brogdon,brogdma01,2021,PG,28,IND,56,1930,57%,38%,6%,,,-0.7,-1.5,76,27,40,7,67,5,789,18,66
Armoni Brooks,brookar01,2021,SG,22,HOU,20,520,58%,40%,2%,,,-13.4,-6.2,11,3,20,3,5,0,75,0,6
Dillon Brooks,brookdi01,2021,SF,25,MEM,67,1997,,12%,81%,6%,,4.4,7.2,59,34,98,16,93,13,358,22,40
Bruce Brown,brownbr01,2021,PG,24,BRK,65,1451,33%,65%,2%,,,5.2,0.4,27,19,71,2,56,1,265,11,39
Charlie Brown,brownch02,2021,SG,23,OKC,9,152,60%,39%,1%,,,-12.1,-1.3,1,3,9,0,5,3,20,1,2
Jaylen Brown,brownja02,2021,SG,24,BOS,58,1999,,48%,49%,3%,,1.2,0.6,56,63,58,21,114,7,464,34,62
Moses Brown,brownmo01,2021,C,21,OKC,43,920,,,,,100%,-19.1,-11.3,5,14,55,11,61,2,23,14,28
Sterling Brown,brownst02,2021,SG,25,HOU,51,1229,4%,41%,52%,3%,,-6.1,3.1,26,9,58,3,12,2,178,3,16
Troy Brown Jr.,browntr01,2021,SF,21,TOT,34,524,,25%,69%,6%,,1.5,3.1,12,4,23,4,12,4,70,7,7
Jalen Brunson,brunsja01,2021,PG,24,DAL,68,1697,78%,22%,,,,4.4,4.2,53,13,37,10,59,34,602,15,17
Elijah Bryant,bryanel01,2021,SG,25,MIL,1,32,12%,58%,20%,10%,,14.4,8.9,1,2,2,0,2,0,8,1,0
