Pace,Season,FTr,3PAr,TS%
103.1,1980,.307,.031,.531
101.8,1981,.327,.023,.534
100.9,1982,.324,.026,.539
103.1,1983,.315,.025,.531
101.4,1984,.336,.027,.543
102.1,1985,.330,.035,.543
102.1,1986,.341,.038,.541
100.8,1987,.343,.053,.538
99.6,1988,.332,.057,.538
100.6,1989,.324,.074,.537
98.3,1990,.327,.076,.537
97.8,1991,.320,.082,.534
96.6,1992,.305,.087,.531
96.8,1993,.323,.104,.536
95.1,1994,.315,.117,.528
92.9,1995,.332,.188,.543
91.8,1996,.329,.200,.542
90.1,1997,.320,.212,.536
90.3,1998,.330,.159,.524
88.9,1999,.330,.168,.511
93.1,2000,.308,.167,.523
91.3,2001,.309,.170,.518
90.7,2002,.293,.181,.520
91.0,2003,.302,.182,.519
90.1,2004,.303,.187,.516
90.9,2005,.324,.196,.529
90.5,2006,.333,.202,.536
91.9,2007,.327,.213,.541
92.4,2008,.306,.222,.540
91.7,2009,.306,.224,.544
92.7,2010,.300,.222,.543
92.1,2011,.300,.222,.541
91.3,2012,.276,.226,.527
92.0,2013,.270,.243,.535
93.9,2014,.284,.259,.541
93.9,2015,.273,.268,.534
95.8,2016,.276,.285,.541
96.4,2017,.271,.316,.552
97.3,2018,.252,.337,.556
100.0,2019,.259,.359,.560
100.3,2020,.260,.384,.565
99.2,2021,.247,.392,.572
98.6,2022,.221,.403,.549
