Season,Name,Status
2021,Nikola Jokic,1
2021,Giannis Antetokounmpo,1
2021,Kawhi Leonard,1
2021,Stephen Curry,1
2021,Luka Doncic,1
2021,Joel Embiid,1
2021,Julius Randle,1
2021,LeBron James,1
2021,Chris Paul,1
2021,Damian Lillard,1
2021,Rudy Gobert,1
2021,Jimmy Butler,1
2021,Paul George,1
2021,Bradley Beal,1
2021,Kyrie Irving,1
2020,Anthony Davis,1
2020,Giannis Antetokounmpo,1
2020,LeBron James,1
2020,James Harden,1
2020,Luka Doncic,1
2020,Nikola Jokic,1
2020,Kawhi Leonard,1
2020,Pascal Siakam,1
2020,Damian Lillard,1
2020,Chris Paul,1
2020,Rudy Gobert,1
2020,Jayson Tatum,1
2020,Jimmy Butler,1
2020,Ben Simmons,1
2020,Russell Westbrook,1
2019,Nikola Jokic,1
2019,Giannis Antetokounmpo,1
2019,Paul George,1
2019,James Harden,1
2019,Stephen Curry,1
2019,Joel Embiid,1
2019,Kevin Durant,1
2019,Kawhi Leonard,1
2019,Damian Lillard,1
2019,Kyrie Irving,1
2019,Rudy Gobert,1
2019,LeBron James,1
2019,Blake Griffin,1
2019,Kemba Walker,1
2019,Russell Westbrook,1
2018,Anthony Davis,1
2018,LeBron James,1
2018,Kevin Durant,1
2018,Damian Lillard,1
2018,James Harden,1
2018,Joel Embiid,1
2018,Giannis Antetokounmpo,1
2018,LaMarcus Aldridge,1
2018,Russell Westbrook,1
2018,DeMar DeRozan,1
2018,Karl-Anthony Towns,1
2018,Jimmy Butler,1
2018,Paul George,1
2018,Stephen Curry,1
2018,Victor Oladipo,1
2017,Anthony Davis,1
2017,LeBron James,1
2017,Kawhi Leonard,1
2017,James Harden,1
2017,Russell Westbrook,1
2017,Rudy Gobert,1
2017,Giannis Antetokounmpo,1
2017,Kevin Durant,1
2017,Stephen Curry,1
2017,Isaiah Thomas,1
2017,DeAndre Jordan,1
2017,Draymond Green,1
2017,Jimmy Butler,1
2017,John Wall,1
2017,DeMar DeRozan,1
2016,DeAndre Jordan,1
2016,LeBron James,1
2016,Kawhi Leonard,1
2016,Stephen Curry,1
2016,Russell Westbrook,1
2016,DeMarcus Cousins,1
2016,Kevin Durant,1
2016,Draymond Green,1
2016,Chris Paul,1
2016,Damian Lillard,1
2016,Andre Drummond,1
2016,Paul George,1
2016,LaMarcus Aldridge,1
2016,Klay Thompson,1
2016,Kyle Lowry,1
2015,Marc Gasol,1
2015,LeBron James,1
2015,Anthony Davis,1
2015,Stephen Curry,1
2015,James Harden,1
2015,DeMarcus Cousins,1
2015,Pau Gasol,1
2015,LaMarcus Aldridge,1
2015,Russell Westbrook,1
2015,Chris Paul,1
2015,DeAndre Jordan,1
2015,Blake Griffin,1
2015,Tim Duncan,1
2015,Klay Thompson,1
2015,Kyrie Irving,1
2014,Joakim Noah,1
2014,Kevin Durant,1
2014,LeBron James,1
2014,James Harden,1
2014,Chris Paul,1
2014,Dwight Howard,1
2014,Blake Griffin,1
2014,Kevin Love,1
2014,Stephen Curry,1
2014,Tony Parker,1
2014,Al Jefferson,1
2014,Paul George,1
2014,LaMarcus Aldridge,1
2014,Goran Dragic,1
2014,Damian Lillard,1
2013,Tim Duncan,1
2013,Kevin Durant,1
2013,LeBron James,1
2013,Kobe Bryant,1
2013,Chris Paul,1
2013,Marc Gasol,1
2013,Carmelo Anthony,1
2013,Blake Griffin,1
2013,Tony Parker,1
2013,Russell Westbrook,1
2013,Dwight Howard,1
2013,Paul George,1
2013,David Lee,1
2013,James Harden,1
2013,Dwyane Wade,1
2012,Dwight Howard,1
2012,Kevin Durant,1
2012,LeBron James,1
2012,Kobe Bryant,1
2012,Chris Paul,1
2012,Andrew Bynum,1
2012,Blake Griffin,1
2012,Kevin Love,1
2012,Tony Parker,1
2012,Russell Westbrook,1
2012,Tyson Chandler,1
2012,Carmelo Anthony,1
2012,Dirk Nowitzki,1
2012,Rajon Rondo,1
2012,Dwyane Wade,1
2011,Dwight Howard,1
2011,Kevin Durant,1
2011,LeBron James,1
2011,Kobe Bryant,1
2011,Derrick Rose,1
2011,Amar'e Stoudemire,1
2011,Pau Gasol,1
2011,Dirk Nowitzki,1
2011,Dwyane Wade,1
2011,Russell Westbrook,1
2011,Al Horford,1
2011,LaMarcus Aldridge,1
2011,Zach Randolph,1
2011,Manu Ginóbili,1
2011,Chris Paul,1
2010,Dwight Howard,1
2010,Kevin Durant,1
2010,LeBron James,1
2010,Kobe Bryant,1
2010,Dwyane Wade,1
2010,Amar'e Stoudemire,1
2010,Carmelo Anthony,1
2010,Dirk Nowitzki,1
2010,Steve Nash,1
2010,Deron Williams,1
2010,Andrew Bogut,1
2010,Tim Duncan,1
2010,Pau Gasol,1
2010,Joe Johnson,1
2010,Brandon Roy,1
2009,Dwight Howard,1
2009,LeBron James,1
2009,Dirk Nowitzki,1
2009,Kobe Bryant,1
2009,Dwyane Wade,1
2009,Yao Ming,1
2009,Tim Duncan,1
2009,Paul Pierce,1
2009,Chris Paul,1
2009,Brandon Roy,1
2009,Shaquille O'Neal,1
2009,Carmelo Anthony,1
2009,Pau Gasol,1
2009,Chauncey Billups,1
2009,Tony Parker,1
2008,Dwight Howard,1
2008,Kevin Garnett,1
2008,LeBron James,1
2008,Kobe Bryant,1
2008,Chris Paul,1
2008,Amar'e Stoudemire,1
2008,Tim Duncan,1
2008,Dirk Nowitzki,1
2008,Steve Nash,1
2008,Deron Williams,1
2008,Yao Ming,1
2008,Carlos Boozer,1
2008,Paul Pierce,1
2008,Manu Ginóbili,1
2008,Tracy McGrady,1
2007,Amar'e Stoudemire,1
2007,Tim Duncan,1
2007,Dirk Nowitzki,1
2007,Kobe Bryant,1
2007,Steve Nash,1
2007,Yao Ming,1
2007,Chris Bosh,1
2007,LeBron James,1
2007,Gilbert Arenas,1
2007,Tracy McGrady,1
2007,Dwight Howard,1
2007,Carmelo Anthony,1
2007,Kevin Garnett,1
2007,Chauncey Billups,1
2007,Dwyane Wade,1
2006,Shaquille O'Neal,1
2006,LeBron James,1
2006,Dirk Nowitzki,1
2006,Kobe Bryant,1
2006,Steve Nash,1
2006,Ben Wallace,1
2006,Elton Brand,1
2006,Tim Duncan,1
2006,Chauncey Billups,1
2006,Dwyane Wade,1
2006,Yao Ming,1
2006,Carmelo Anthony,1
2006,Shawn Marion,1
2006,Gilbert Arenas,1
2006,Allen Iverson,1
2005,Shaquille O'Neal,1
2005,Tim Duncan,1
2005,Dirk Nowitzki,1
2005,Allen Iverson,1
2005,Steve Nash,1
2005,Amar'e Stoudemire,1
2005,Kevin Garnett,1
2005,LeBron James,1
2005,Ray Allen,1
2005,Dwyane Wade,1
2005,Ben Wallace,1
2005,Shawn Marion,1
2005,Tracy McGrady,1
2005,Gilbert Arenas,1
2005,Kobe Bryant,1
2004,Shaquille O'Neal,1
2004,Tim Duncan,1
2004,Kevin Garnett,1
2004,Kobe Bryant,1
2004,Jason Kidd,1
2004,Ben Wallace,1
2004,Jermaine O'Neal,1
2004,Peja Stojakovic,1
2004,Sam Cassell,1
2004,Tracy McGrady,1
2004,Yao Ming,1
2004,Metta World Peace,1
2004,Dirk Nowitzki,1
2004,Baron Davis,1
2004,Michael Redd,1
2003,Shaquille O'Neal,1
2003,Tim Duncan,1
2003,Kevin Garnett,1
2003,Kobe Bryant,1
2003,Tracy McGrady,1
2003,Ben Wallace,1
2003,Dirk Nowitzki,1
2003,Chris Webber,1
2003,Allen Iverson,1
2003,Jason Kidd,1
2003,Jermaine O'Neal,1
2003,Jamal Mashburn,1
2003,Paul Pierce,1
2003,Stephon Marbury,1
2003,Steve Nash,1
2002,Shaquille O'Neal,1
2002,Tim Duncan,1
2002,Tracy McGrady,1
2002,Kobe Bryant,1
2002,Jason Kidd,1
2002,Dirk Nowitzki,1
2002,Kevin Garnett,1
2002,Chris Webber,1
2002,Allen Iverson,1
2002,Gary Payton,1
2002,Dikembe Mutombo,1
2002,Jermaine O'Neal,1
2002,Ben Wallace,1
2002,Steve Nash,1
2002,Paul Pierce,1
2001,Shaquille O'Neal,1
2001,Tim Duncan,1
2001,Chris Webber,1
2001,Allen Iverson,1
2001,Jason Kidd,1
2001,Dikembe Mutombo,1
2001,Vince Carter,1
2001,Kevin Garnett,1
2001,Kobe Bryant,1
2001,Tracy McGrady,1
2001,David Robinson,1
2001,Karl Malone,1
2001,Dirk Nowitzki,1
2001,Ray Allen,1
2001,Gary Payton,1
2000,Shaquille O'Neal,1
2000,Tim Duncan,1
2000,Kevin Garnett,1
2000,Jason Kidd,1
2000,Gary Payton,1
2000,Alonzo Mourning,1
2000,Grant Hill,1
2000,Karl Malone,1
2000,Kobe Bryant,1
2000,Allen Iverson,1
2000,David Robinson,1
2000,Vince Carter,1
2000,Chris Webber,1
2000,Eddie Jones,1
2000,Stephon Marbury,1
1999,Alonzo Mourning,1
1999,Tim Duncan,1
1999,Karl Malone,1
1999,Allen Iverson,1
1999,Jason Kidd,1
1999,Shaquille O'Neal,1
1999,Grant Hill,1
1999,Chris Webber,1
1999,Tim Hardaway,1
1999,Gary Payton,1
1999,Hakeem Olajuwon,1
1999,Kevin Garnett,1
1999,Antonio McDyess,1
1999,Kobe Bryant,1
1999,John Stockton,1
1998,Shaquille O'Neal,1
1998,Tim Duncan,1
1998,Karl Malone,1
1998,Michael Jordan,1
1998,Gary Payton,1
1998,David Robinson,1
1998,Vin Baker,1
1998,Grant Hill,1
1998,Tim Hardaway,1
1998,Rod Strickland,1
1998,Dikembe Mutombo,1
1998,Scottie Pippen,1
1998,Glen Rice,1
1998,Reggie Miller,1
1998,Mitch Richmond,1
1997,Hakeem Olajuwon,1
1997,Grant Hill,1
1997,Karl Malone,1
1997,Tim Hardaway,1
1997,Michael Jordan,1
1997,Patrick Ewing,1
1997,Scottie Pippen,1
1997,Glen Rice,1
1997,Gary Payton,1
1997,Mitch Richmond,1
1997,Shaquille O'Neal,1
1997,Vin Baker,1
