Totals,PlayerID,Year,Position Estimate,+/- Per 100 Poss.,Turnovers,Fouls Committed,Fouls Drawn,Misc.,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
Alex Abrines,abrinal01,2018,SG,24,OKC,75,1134,5%,90%,5%,,,0.1,-4.4,14,7,68,1,15,3,66,4,9
Quincy Acy,acyqu01,2018,PF,27,BRK,70,1359,,,,59%,42%,-2.8,1.8,21,13,67,15,23,9,145,1,13
Steven Adams,adamsst01,2018,C,24,OKC,76,2487,,,,,100%,5.8,6.8,26,34,76,41,112,4,213,32,47
Bam Adebayo,adebaba01,2018,C,20,MIA,69,1368,,,,4%,96%,0.5,-0.7,16,24,67,18,81,10,260,19,29
Arron Afflalo,afflaar01,2018,SG,32,ORL,53,682,5%,77%,18%,,,-6.3,-1.6,10,3,31,4,11,2,76,0,8
Cole Aldrich,aldrico01,2018,C,29,MIN,21,49,,,,,100%,-2.0,-4.6,0,0,2,1,2,0,7,0,1
LaMarcus Aldridge,aldrila01,2018,C,32,SAS,75,2509,,,,38%,62%,5.5,6.7,34,35,96,18,185,3,373,53,44
Jarrett Allen,allenja01,2018,C,19,BRK,72,1441,,,,2%,98%,-4.1,-0.3,28,22,95,23,71,1,122,11,39
Kadeem Allen,allenka01,2018,PG,25,BOS,18,107,69%,32%,,,,-5.6,-9.5,5,1,7,3,3,1,27,1,1
Tony Allen,allento01,2018,SF,36,NOP,22,273,,18%,73%,9%,,3.0,1.3,10,2,22,4,11,3,20,1,11
Al-Farouq Aminu,aminual01,2018,PF,27,POR,69,2072,,,3%,96%,1%,5.2,4.9,34,21,62,8,33,8,197,5,16
Justin Anderson,anderju01,2018,SF,24,PHI,38,519,,10%,73%,17%,,-6.3,-12.7,9,1,26,2,18,1,58,4,13
Kyle Anderson,anderky01,2018,SF,24,SAS,74,1978,,,63%,37%,,4.3,2.7,58,15,44,3,66,10,481,16,31
Ryan Anderson,anderry01,2018,PF,29,HOU,66,1725,,,,76%,24%,6.4,-3.9,11,14,54,9,43,2,155,6,13
Ike Anigbogu,anigbik01,2018,C,19,IND,11,30,,,,,100%,-24.7,-26.5,1,1,0,0,3,0,0,0,2
Giannis Antetokounmpo,antetgi01,2018,PF,23,MIL,75,2756,,,,93%,7%,2.8,9.4,79,67,83,39,316,3,890,78,85
Carmelo Anthony,anthoca01,2018,PF,33,OKC,78,2501,,,,90%,10%,5.0,4.8,32,21,89,20,81,8,262,13,55
OG Anunoby,anunoog01,2018,SF,20,TOR,74,1481,,,76%,24%,,10.7,4.4,19,13,64,4,34,4,135,10,23
Ryan Arcidiacono,arcidry01,2018,PG,23,CHI,24,304,97%,3%,,,,-5.1,2.8,9,4,6,0,1,2,85,0,0
Trevor Ariza,arizatr01,2018,SF,32,HOU,67,2269,,14%,81%,5%,,8.3,-0.7,22,17,34,7,36,9,269,13,21
Darrell Arthur,arthuda01,2018,PF,29,DEN,19,141,,,1%,93%,6%,-11.3,-13.0,5,3,14,3,2,0,22,1,2
Jamel Artis,artisja01,2018,SG,25,ORL,15,279,,48%,46%,6%,,-2.1,3.1,3,4,6,1,5,1,47,2,3
Omer Asik,asikom01,2018,C,31,TOT,18,182,,,,,100%,-6.5,-5.3,4,2,13,2,6,1,6,1,4
Omer Asik,asikom01,2018,C,31,NOP,14,121,,,,,100%,1.0,-0.8,1,1,8,2,5,1,4,0,3
Omer Asik,asikom01,2018,C,31,CHI,4,61,,,,,100%,-21.6,-14.2,3,1,5,0,1,0,2,1,1
D.J. Augustin,augusdj01,2018,PG,30,ORL,75,1760,100%,,,,,-3.8,2.1,68,27,32,12,70,12,665,11,42
Luke Babbitt,babbilu01,2018,SF,28,TOT,50,715,,4%,22%,74%,1%,-3.9,0.9,9,2,31,5,8,3,80,2,8
Luke Babbitt,babbilu01,2018,SF,28,ATL,37,570,,,11%,89%,1%,-3.9,2.4,6,2,29,5,8,3,67,2,6
Luke Babbitt,babbilu01,2018,SF,28,MIA,13,145,,19%,66%,16%,,-3.9,-5.0,3,0,2,0,0,0,13,0,2
Dwayne Bacon,bacondw01,2018,SG,22,CHO,53,713,,7%,76%,17%,,1.7,1.8,16,4,22,0,10,1,99,5,5
Ron Baker,bakerro01,2018,SG,24,NYK,29,385,7%,74%,19%,,,2.5,7.1,13,2,13,0,5,2,104,0,1
Wade Baldwin,baldwwa01,2018,PG,21,POR,7,80,50%,50%,,,,5.1,2.3,0,1,3,1,6,1,11,2,1
Lonzo Ball,balllo01,2018,PG,20,LAL,52,1780,84%,14%,2%,,,-0.9,1.2,96,21,50,7,28,10,869,5,39
J.J. Barea,bareajo01,2018,PG,33,DAL,69,1603,100%,,,,,-0.9,4.4,107,25,24,4,42,27,995,8,24
