Player,PlayerID,Year,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
Precious Achiuwa,achiupr01,2022,C,22,TOR,13,314,,,,1%,99%,-0.8,-1.1,3,4,14,4,14,0,45,2,18
Steven Adams,adamsst01,2022,C,28,MEM,14,358,,,,,100%,-4.0,-2.6,12,2,8,2,18,3,83,4,8
Bam Adebayo,adebaba01,2022,C,24,MIA,12,397,,,,,100%,3.4,-10.6,16,8,13,9,40,1,77,7,13
Santi Aldama,aldamsa01,2022,PF,21,MEM,5,33,,,,65%,35%,-1.6,1.2,0,0,1,0,2,0,9,1,1
LaMarcus Aldridge,aldrila01,2022,C,36,BRK,14,276,,,,,100%,9.2,7.2,4,3,12,3,14,0,36,4,4
Nickeil Alexander-Walker,alexani01,2022,SG,23,NOP,15,465,4%,66%,29%,,,-6.9,10.3,17,4,15,2,15,4,92,3,13
Grayson Allen,allengr01,2022,SG,26,MIL,14,418,4%,78%,18%,,,4.2,15.5,7,1,9,1,10,1,49,2,9
Jarrett Allen,allenja01,2022,C,23,CLE,14,453,,,,,100%,-1.6,-6.8,10,11,12,5,24,4,59,5,8
Jose Alvarado,alvarjo01,2022,PG,23,NOP,2,7,100%,,,,,-37.9,-27.6,0,0,0,0,0,0,2,0,0
Kyle Anderson,anderky01,2022,PF,28,MEM,14,310,,,2%,67%,31%,-10.4,-14.2,5,1,8,3,5,1,78,1,7
Giannis Antetokounmpo,antetgi01,2022,PF,27,MIL,13,428,,,,33%,67%,6.5,22.8,13,11,19,6,56,1,205,13,13
Thanasis Antetokounmpo,antetth01,2022,SF,29,MIL,13,196,1%,20%,46%,32%,1%,-5.2,-4.8,2,2,10,2,5,3,33,1,7
Carmelo Anthony,anthoca01,2022,PF,37,LAL,15,432,,,,98%,2%,-2.4,0.5,2,2,15,6,12,0,33,2,3
Cole Anthony,anthoco01,2022,PG,21,ORL,14,477,100%,,,,,-1.4,32.7,26,15,16,1,19,8,202,6,5
OG Anunoby,anunoog01,2022,SF,24,TOR,15,560,,14%,66%,20%,,-0.4,-1.2,12,9,16,4,15,0,102,1,23
D.J. Augustin,augusdj01,2022,PG,34,HOU,12,142,100%,,,,,-25.1,-17.3,9,2,4,0,2,0,49,0,0
Deni Avdija,avdijde01,2022,SF,21,WAS,13,281,,,60%,40%,,15.3,18.1,5,1,17,1,9,0,41,1,1
Joel Ayayi,ayayijo01,2022,SG,21,WAS,1,4,,100%,,,,16.7,11.4,0,0,0,0,0,0,0,0,0
Deandre Ayton,aytonde01,2022,C,23,PHO,7,208,,,,,100%,0.7,-7.3,3,2,15,4,9,0,21,4,4
Udoka Azubuike,azubuud01,2022,C,22,UTA,3,5,,,,,100%,42.9,34.0,0,0,0,0,0,0,0,0,0
Marvin Bagley III,baglema01,2022,PF,22,SAC,2,28,,,6%,78%,16%,28.1,27.8,1,0,0,1,0,0,0,0,0
LaMelo Ball,ballla01,2022,PG,20,CHO,15,484,99%,1%,,,,2.5,10.9,26,8,12,4,12,4,257,4,12
Lonzo Ball,balllo01,2022,PG,24,CHI,14,491,52%,48%,,,,9.0,12.3,22,8,17,2,2,1,143,0,8
Mo Bamba,bambamo01,2022,C,23,ORL,14,427,,,,2%,98%,-8.7,6.3,13,5,24,4,11,1,70,0,8
Desmond Bane,banede01,2022,SF,23,MEM,14,402,,19%,78%,3%,,4.1,16.6,9,9,16,2,2,0,77,1,8
Dalano Banton,bantoda01,2022,SF,22,TOR,15,189,,20%,66%,13%,2%,0.6,1.0,6,3,9,5,9,0,47,2,6
Harrison Barnes,barneha02,2022,PF,29,SAC,14,504,,,13%,86%,1%,-1.2,-10.9,11,10,7,4,37,3,77,8,9
Scottie Barnes,barnesc01,2022,PF,20,TOR,13,462,,,3%,91%,7%,-0.7,-1.6,17,6,16,1,22,2,88,5,10
RJ Barrett,barrerj01,2022,SF,21,NYK,14,466,,,96%,4%,,-4.5,-18.1,16,11,20,1,16,1,75,4,18
Will Barton,bartowi01,2022,SG,31,DEN,12,402,,86%,13%,,,9.4,12.2,14,4,6,0,7,3,116,1,7
Charles Bassey,bassech01,2022,PF,21,PHI,6,25,,,,54%,46%,-13.3,-15.6,0,0,1,0,1,0,3,0,1
Keita Bates-Diop,bateske01,2022,SF,26,SAS,10,128,,,2%,99%,,14.8,19.5,1,3,2,1,2,0,4,0,2
Nicolas Batum,batumni01,2022,PF,33,LAC,13,355,,,,86%,14%,3.5,-5.6,7,1,3,0,4,3,51,2,1
Kent Bazemore,bazemke01,2022,SF,32,LAL,14,329,,26%,63%,11%,,-7.4,-8.9,5,1,21,0,4,3,31,0,0
Darius Bazley,bazleda01,2022,PF,21,OKC,13,363,,,14%,85%,2%,-9.4,-1.3,7,10,7,2,19,1,43,4,17
Bradley Beal,bealbr01,2022,SG,28,WAS,10,360,,99%,2%,,,4.4,-2.1,24,13,9,3,16,4,134,2,7
Malik Beasley,beaslma01,2022,SG,25,MIN,13,329,6%,81%,13%,,,-12.9,-16.9,5,3,4,1,1,0,59,0,7
DeAndre' Bembry,bembrde01,2022,SF,27,BRK,14,225,,16%,62%,22%,,0.8,-5.6,6,1,13,2,5,3,36,1,4
Davis Bertans,bertada01,2022,PF,29,WAS,7,118,,,,74%,26%,-5.6,-13.5,2,1,5,0,3,1,9,1,0
Patrick Beverley,beverpa01,2022,PG,33,MIN,11,290,95%,5%,,,,-4.4,0.5,12,0,14,2,5,9,122,3,2
Saddiq Bey,beysa01,2022,SF,22,DET,13,422,,32%,64%,5%,,-11.9,-2.0,6,2,3,3,14,0,96,3,11
Khem Birch,birchkh01,2022,C,29,TOR,12,275,,,,,100%,3.3,5.6,2,2,6,4,11,1,44,3,4
Goga Bitadze,bitadgo01,2022,C,22,IND,10,79,,,,,100%,-9.7,-10.2,1,1,8,1,3,0,4,1,3
Nemanja Bjelica,bjeline01,2022,C,33,GSW,14,208,,,,,100%,22.1,12.7,9,2,5,2,6,0,56,1,5
Eric Bledsoe,bledser01,2022,PG,32,LAC,14,401,100%,,,,,-4.8,-27.2,22,9,7,3,16,7,139,5,7
Bogdan Bogdanovic,bogdabo01,2022,SG,29,ATL,14,415,,75%,25%,,,-2.9,-5.0,7,6,12,1,4,2,76,2,3
Bojan Bogdanovic,bogdabo02,2022,PF,32,UTA,14,424,,,1%,99%,,11.2,5.9,7,8,5,3,22,1,54,4,17
Bol Bol,bolbo01,2022,PF,22,DEN,5,27,,,,,100%,-3.6,-8.7,0,0,3,0,1,0,5,1,0
Leandro Bolmaro,bolmale01,2022,SF,21,MIN,5,16,,60%,40%,,,-21.9,-17.6,2,1,0,0,1,0,0,1,0
Isaac Bonga,bongais01,2022,SF,22,TOR,3,7,,,87%,13%,,12.5,12.8,0,0,0,0,0,0,6,0,0
Devin Booker,bookede01,2022,SG,25,PHO,13,427,,91%,9%,,,9.3,11.7,25,5,17,3,26,1,168,5,13
Brandon Boston Jr.,bostobr01,2022,SG,20,LAC,5,33,10%,38%,53%,,,5.7,-0.4,0,0,0,0,2,0,5,1,1
Chris Boucher,bouchch01,2022,PF,29,TOR,14,189,,,35%,59%,7%,-0.5,-0.5,2,3,14,0,8,0,6,2,6
James Bouknight,bouknja01,2022,SG,21,CHO,5,8,49%,45%,6%,,,-102.5,-102.4,0,0,1,0,0,0,0,0,1
Avery Bradley,bradlav01,2022,SG,31,LAL,14,314,12%,87%,1%,,,-15.1,-21.5,4,0,8,1,0,2,32,0,3
Tony Bradley,bradlto01,2022,C,24,CHI,11,145,,,,,100%,19.7,17.7,2,2,9,4,1,1,12,0,4
Ignas Brazdeikis,brazdig01,2022,SF,23,ORL,7,53,,9%,41%,50%,,-26.3,-16.7,2,0,6,0,0,1,11,0,2
Mikal Bridges,bridgmi01,2022,SF,25,PHO,13,427,,1%,98%,1%,,11.7,19.2,2,4,8,2,5,10,42,2,4
Miles Bridges,bridgmi02,2022,PF,23,CHO,15,549,,,,85%,15%,5.3,25.6,11,8,15,4,33,2,130,9,15
Oshae Brissett,brissos01,2022,SF,23,IND,8,102,,,8%,92%,,-26.4,-30.1,3,2,4,2,2,2,8,0,0
Malcolm Brogdon,brogdma01,2022,PG,29,IND,10,367,67%,33%,,,,-1.6,-2.0,23,0,6,3,18,2,171,5,16
Armoni Brooks,brookar01,2022,SG,23,HOU,10,81,63%,34%,3%,,,18.1,33.8,0,1,3,0,1,0,7,1,1
Dillon Brooks,brookdi01,2022,SF,26,MEM,3,79,,25%,73%,2%,,5.3,9.2,2,2,4,2,3,4,19,0,3
Bruce Brown,brownbr01,2022,SF,25,BRK,14,363,,67%,33%,1%,,0.2,-9.2,2,5,13,2,5,2,31,3,12
Greg Brown III,browngr01,2022,SF,20,POR,6,30,,,,65%,35%,-22.3,-23.7,0,1,3,0,3,0,9,1,1
Jaylen Brown,brownja02,2022,SF,25,BOS,8,292,,32%,53%,16%,,7.0,9.8,6,12,10,2,20,0,47,4,7
Moses Brown,brownmo01,2022,C,22,DAL,6,18,,,,,100%,5.6,6.2,0,0,2,0,1,0,0,0,0
Sterling Brown,brownst02,2022,SG,26,DAL,11,129,,15%,50%,35%,,1.5,2.5,1,4,7,1,1,0,20,0,5
Troy Brown Jr.,browntr01,2022,SF,22,CHI,11,87,,5%,43%,50%,3%,-7.9,-15.7,1,1,3,0,1,0,5,0,4
Jalen Brunson,brunsja01,2022,PG,25,DAL,13,378,99%,1%,,,,9.5,25.7,12,4,5,1,13,8,158,7,8
Reggie Bullock,bullore01,2022,SF,30,DAL,13,277,,,66%,34%,,0.2,1.1,2,2,8,1,0,2,23,0,6
Trey Burke,burketr01,2022,PG,29,DAL,4,31,100%,,,,,6.5,7.3,2,2,0,0,2,0,10,0,0
Alec Burks,burksal01,2022,SG,30,NYK,14,276,1%,29%,70%,,,9.1,13.3,6,0,8,1,9,1,55,1,2
