Player,PlayerID,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,achiupr01,2022,C,22,TOR,17,13,426,59,147,.401,7,21,.333,52,126,.413,.425,16,29,.552,35,102,137,28,9,10,17,39,141
Steven Adams,adamsst01,2022,C,28,MEM,19,19,465,48,96,.500,0,0,,48,96,.500,.500,32,46,.696,67,81,148,52,15,13,28,32,128
Bam Adebayo,adebaba01,2022,C,24,MIA,16,16,524,111,215,.516,0,1,.000,111,214,.519,.516,82,106,.774,42,121,163,45,19,6,47,52,304
Santi Aldama,aldamsa01,2022,PF,21,MEM,8,0,59,10,26,.385,2,12,.167,8,14,.571,.423,3,5,.600,5,9,14,7,0,0,0,6,25
LaMarcus Aldridge,aldrila01,2022,C,36,BRK,18,1,392,104,181,.575,9,23,.391,95,158,.601,.599,28,36,.778,29,78,107,16,6,21,12,30,245
Nickeil Alexander-Walker,alexani01,2022,SG,23,NOP,21,18,620,113,299,.378,44,144,.306,69,155,.445,.452,34,44,.773,24,70,94,54,21,9,32,39,304
Grayson Allen,allengr01,2022,SG,26,MIL,20,20,574,95,213,.446,65,154,.422,30,59,.508,.599,28,31,.903,11,67,78,26,12,5,13,33,283
Jarrett Allen,allenja01,2022,C,23,CLE,16,16,528,100,146,.685,1,4,.250,99,142,.697,.688,43,69,.623,55,124,179,28,17,14,33,27,244
Jose Alvarado,alvarjo01,2022,PG,23,NOP,5,0,26,3,9,.333,1,4,.250,2,5,.400,.389,0,0,,1,2,3,3,2,0,0,3,7
Kyle Anderson,anderky01,2022,PF,28,MEM,19,2,417,61,143,.427,17,47,.362,44,96,.458,.486,13,17,.765,20,80,100,46,16,8,18,28,152
Giannis Antetokounmpo,antetgi01,2022,PF,27,MIL,19,19,616,181,348,.520,23,81,.284,158,267,.592,.553,129,191,.675,32,191,223,114,22,35,56,56,514
Thanasis Antetokounmpo,antetth01,2022,SF,29,MIL,17,5,230,25,54,.463,0,5,.000,25,49,.510,.463,10,17,.588,19,38,57,14,9,2,11,32,60
Carmelo Anthony,anthoca01,2022,PF,37,LAL,21,3,620,108,241,.448,61,139,.439,47,102,.461,.575,39,48,.813,13,67,80,17,16,15,17,54,316
Cole Anthony,anthoco01,2022,PG,21,ORL,16,16,545,107,257,.416,45,123,.366,62,134,.463,.504,55,64,.859,9,99,108,94,18,4,47,41,314
OG Anunoby,anunoog01,2022,SF,24,TOR,15,15,560,114,265,.430,41,112,.366,73,153,.477,.508,33,40,.825,24,57,81,41,23,9,25,41,302
D.J. Augustin,augusdj01,2022,PG,34,HOU,16,0,200,17,45,.378,12,33,.364,5,12,.417,.511,14,15,.933,2,11,13,30,3,0,20,9,60
Deni Avdija,avdijde01,2022,SF,21,WAS,19,0,418,41,96,.427,14,44,.318,27,52,.519,.500,20,31,.645,16,85,101,25,12,16,12,37,116
Joel Ayayi,ayayijo01,2022,SG,21,WAS,3,0,6,0,0,,0,0,,0,0,,,0,0,,0,1,1,2,0,0,0,0,0
Deandre Ayton,aytonde01,2022,C,23,PHO,13,13,391,95,148,.642,1,5,.200,94,143,.657,.645,15,25,.600,42,113,155,17,12,8,22,37,206
Udoka Azubuike,azubuud01,2022,C,22,UTA,4,0,8,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,1,3,4,0,0,0,1,0,2
Marvin Bagley III,baglema01,2022,PF,22,SAC,7,0,121,17,35,.486,4,13,.308,13,22,.591,.543,4,8,.500,9,29,38,6,0,1,6,7,42
LaMelo Ball,ballla01,2022,PG,20,CHO,21,21,686,150,360,.417,57,150,.380,93,210,.443,.496,51,57,.895,30,132,162,163,40,8,66,63,408
Lonzo Ball,balllo01,2022,PG,24,CHI,20,20,696,91,217,.419,60,135,.444,31,82,.378,.558,6,8,.750,16,86,102,92,38,15,45,48,248
Mo Bamba,bambamo01,2022,C,23,ORL,20,20,593,85,189,.450,28,83,.337,57,106,.538,.524,17,24,.708,50,131,181,36,18,40,30,55,215
Desmond Bane,banede01,2022,SF,23,MEM,19,19,548,113,243,.465,46,123,.374,67,120,.558,.560,22,24,.917,10,63,73,37,16,6,26,47,294
Dalano Banton,bantoda01,2022,SF,22,TOR,20,0,267,38,75,.507,5,15,.333,33,60,.550,.540,18,24,.750,10,34,44,29,9,5,23,31,99
Harrison Barnes,barneha02,2022,PF,29,SAC,19,19,665,110,230,.478,37,93,.398,73,137,.533,.559,104,123,.846,26,110,136,46,19,3,39,27,361
Scottie Barnes,barnesc01,2022,PF,20,TOR,18,18,633,110,225,.489,5,19,.263,105,206,.510,.500,43,59,.729,53,97,150,60,19,10,37,47,268
RJ Barrett,barrerj01,2022,SF,21,NYK,19,19,617,100,258,.388,33,103,.320,67,155,.432,.452,43,60,.717,11,102,113,43,9,6,35,43,276
Will Barton,bartowi01,2022,SG,31,DEN,17,17,571,109,241,.452,41,109,.376,68,132,.515,.537,18,27,.667,11,80,91,73,18,8,29,20,277
Charles Bassey,bassech01,2022,PF,21,PHI,10,0,81,12,18,.667,0,3,.000,12,15,.800,.667,5,7,.714,10,19,29,2,1,7,3,11,29
Keita Bates-Diop,bateske01,2022,SF,26,SAS,14,3,193,19,42,.452,1,10,.100,18,32,.563,.464,4,4,1.000,10,35,45,3,5,6,9,7,43
Nicolas Batum,batumni01,2022,PF,33,LAC,14,13,386,50,96,.521,32,73,.438,18,23,.783,.688,5,10,.500,7,70,77,21,16,11,11,17,137
Kent Bazemore,bazemke01,2022,SF,32,LAL,16,13,344,26,79,.329,12,42,.286,14,37,.378,.405,10,13,.769,4,30,34,14,16,5,8,42,74
Darius Bazley,bazleda01,2022,PF,21,OKC,19,19,541,67,187,.358,21,75,.280,46,112,.411,.414,21,36,.583,19,111,130,28,12,22,27,16,176
Bradley Beal,bealbr01,2022,SG,28,WAS,16,16,573,140,327,.428,29,108,.269,111,219,.507,.472,60,64,.938,14,70,84,93,16,6,64,37,369
Malik Beasley,beaslma01,2022,SG,25,MIN,19,0,484,71,204,.348,50,150,.333,21,54,.389,.471,11,16,.688,7,45,52,30,14,3,11,20,203
DeAndre' Bembry,bembrde01,2022,SF,27,BRK,18,3,334,38,73,.521,7,17,.412,31,56,.554,.568,9,15,.600,10,40,50,19,17,8,13,41,92
Davis Bertans,bertada01,2022,PF,29,WAS,9,0,153,14,51,.275,11,41,.268,3,10,.300,.382,12,12,1.000,3,14,17,5,2,0,4,15,51
Patrick Beverley,beverpa01,2022,PG,33,MIN,16,12,406,49,107,.458,19,56,.339,30,51,.588,.547,12,17,.706,23,47,70,72,14,16,19,50,129
Saddiq Bey,beysa01,2022,SF,22,DET,19,19,617,95,258,.368,37,123,.301,58,135,.430,.440,28,39,.718,39,79,118,47,18,4,26,32,255
Khem Birch,birchkh01,2022,C,29,TOR,15,3,344,40,80,.500,0,6,.000,40,74,.541,.500,24,33,.727,48,37,85,20,15,7,9,27,104
Goga Bitadze,bitadgo01,2022,C,22,IND,14,0,127,14,47,.298,4,23,.174,10,24,.417,.340,10,15,.667,16,18,34,3,9,9,5,25,42
Nemanja Bjelica,bjeline01,2022,C,33,GSW,19,0,273,44,96,.458,18,48,.375,26,48,.542,.552,17,21,.810,17,58,75,30,15,6,22,20,123
Eric Bledsoe,bledser01,2022,PG,32,LAC,19,19,534,69,170,.406,16,62,.258,53,108,.491,.453,31,36,.861,12,66,78,69,27,10,43,35,185
Bogdan Bogdanovic,bogdabo01,2022,SG,29,ATL,19,19,553,88,195,.451,43,108,.398,45,87,.517,.562,11,14,.786,7,63,70,48,12,4,18,38,230
Bojan Bogdanovic,bogdabo02,2022,PF,32,UTA,19,19,572,111,239,.464,48,118,.407,63,121,.521,.565,61,66,.924,16,65,81,33,9,1,31,23,331
Bol Bol,bolbo01,2022,PF,22,DEN,9,0,46,7,15,.467,0,3,.000,7,12,.583,.467,1,3,.333,2,12,14,2,1,2,0,3,15
Leandro Bolmaro,bolmale01,2022,SF,21,MIN,8,0,30,4,11,.364,1,5,.200,3,6,.500,.409,3,3,1.000,4,7,11,3,0,0,5,3,12
Isaac Bonga,bongais01,2022,SF,22,TOR,4,0,8,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,1,1,2,2,1,0,0,1,2
Devin Booker,bookede01,2022,SG,25,PHO,19,19,629,167,366,.456,46,116,.397,121,250,.484,.519,68,81,.840,17,83,100,89,18,5,53,43,448
Brandon Boston Jr.,bostobr01,2022,SG,20,LAC,7,0,55,7,21,.333,2,6,.333,5,15,.333,.381,4,5,.800,0,7,7,3,4,1,2,2,20
Chris Boucher,bouchch01,2022,PF,29,TOR,19,0,265,43,113,.381,10,50,.200,33,63,.524,.425,16,24,.667,27,51,78,6,11,14,11,25,112
James Bouknight,bouknja01,2022,SG,21,CHO,7,0,12,0,6,.000,0,1,.000,0,5,.000,.000,2,2,1.000,1,1,2,2,0,0,0,1,2
Avery Bradley,bradlav01,2022,SG,31,LAL,20,15,449,40,100,.400,22,59,.373,18,41,.439,.510,2,2,1.000,10,42,52,17,11,4,12,29,104
Tony Bradley,bradlto01,2022,C,24,CHI,17,7,222,29,52,.558,0,0,,29,52,.558,.558,4,5,.800,25,46,71,7,1,10,12,25,62
Ignas Brazdeikis,brazdig01,2022,SF,23,ORL,10,0,86,7,27,.259,3,16,.188,4,11,.364,.315,1,2,.500,5,12,17,5,2,0,3,10,18
Mikal Bridges,bridgmi01,2022,SF,25,PHO,19,19,642,100,183,.546,27,67,.403,73,116,.629,.620,18,22,.818,12,61,73,36,20,12,13,44,245
Miles Bridges,bridgmi02,2022,PF,23,CHO,21,21,764,156,350,.446,47,144,.326,109,206,.529,.513,65,86,.756,30,127,157,70,29,19,35,60,424
Oshae Brissett,brissos01,2022,SF,23,IND,11,0,126,14,36,.389,5,17,.294,9,19,.474,.458,1,5,.200,4,20,24,4,2,2,8,10,34
